,Property Name,Address,Energy STAR Score
0,Palumbo,1100 CATHARINE ST,97.0
2,ECI Building,4343 WHITAKER AVE,100.0
12,St. Raymond of Penafort,1330 VERNON RD,100.0
66,Adaire,1300 E PALMER ST,97.0
70,1420-22 Chestnut Street,1420-22 CHESTNUT ST,94.0
73,Jewish Federation,2100-12 ARCH ST,93.0
80,Club Quarters Hotel,1628-36 CHESTNUT ST,93.0
90,PA0143ZZ-RN NIX FED BLDG & USPO,901-15 CHESTNUT ST,96.0
95,BOYER PAVILION,3519-33 N BROAD ST,99.0
97,1500 Locust,1500-14 LOCUST ST,95.0
103,3535 Market,3521-35 MARKET ST,93.0
130,Our Lady of Hope,1248 JACKSON ST,97.0
132,Chestnut Hill,403 W SPRINGFIELD AVE,100.0
145,Lamberton,7501 WOODBINE AVE,92.0
156,Levering Amy Northwest,5950 RIDGE AVE,98.0
168,Wilson W,1800 COTTMAN AVE,91.0
184,Little Flower Catholic High School,1001 W LUZERNE ST,100.0
185,Overbrook HS,5700 LANCASTER AVE,99.0
199,Father Judge High School,3301 SOLLY AVE,98.0
203,Springside,8000 CHEROKEE ST,99.0
207,Archbishop Ryan High School,11101 ACADEMY RD,91.0
209,Girard College,2035 S COLLEGE AVE,98.0
210,Mercy Philadelphia Hospital,5301 CEDAR AVE,100.0
215,Northeast WPCP,3899 RICHMOND ST,100.0
234,Tacony Academy Charter School,1330 RHAWN ST,100.0
235,2825-2845 Southampton Rd,2825-45 SOUTHAMPTON RD,100.0
237,CMH Development LP,1401 E BRISTOL ST,91.0
238,Origlio Property Holding,3000 MEETINGHOUSE RD,100.0
239,29145-Philadelphia / Wheatsheaf Lane,2190 WHEATSHEAF LN,98.0
240,2800 Black Lake Place,2800 BLACK LAKE PL,98.0
243,Sewing Factory,1730 N 5TH ST,100.0
244,Coronado Condominiums,2201 CHESTNUT ST,100.0
247,2801-2817 Southampton Rd,2801-17 SOUTHAMPTON RD,100.0
248,Fairfax Apartments,5501-09 WAYNE AVE,100.0
251,Center Post Apartments,55 N 40TH ST,99.0
252,SOMERSET WAREHOUSE,2801-31 A ST,100.0
254,DRUMMOND ROAD,10500 DRUMMOND RD,98.0
255,Cedar Views Apartments,300 ERNEST WAY,100.0
256,Hartranft Community,800 W CUMBERLAND ST,100.0
257,Wynnefield Terrace Associates LP,4991 PARKSIDE AVE,99.0
258,2801 Grant Avenue,2801 GRANT AVE,100.0
261,Church of God Non Sectarian,5101-03 HAVERFORD AVE,100.0
263,7205-15 Rising Sun,7205-15 RISING SUN AVE,100.0
265,Leatex Chemical Co.,2722 N HANCOCK ST,99.0
266,VILLAS DE HACE,1426-44 N 6TH ST,94.0
267,"Foulkrod Apartment Associates, LP",1330-46 FOULKROD ST,100.0
268,Penn Lee Apartments,557 CHURCH LN,100.0
269,MARJAM SUPPLY,6951 NEW STATE RD,93.0
270,The Landreth,1201 S 23RD ST,100.0
273,2501 Grant Ave,2501 GRANT AVE,98.0
274,8020 Algon,8020 ALGON AVE,96.0
275,Warehouse America,2235 CASTOR AVE,98.0
276,1801 N American,1801-59 N AMERICAN ST,91.0
281,2239 West Montgomery Ave,2239-47 W MONTGOMERY AVE,100.0
285,2191 Hornig Rd,2191 HORNIG RD,100.0
297,National at Old City Condominiums,113 BREAD ST,95.0
298,Beech Interplex,1520 CECIL B MOORE AVE,91.0
305,Arch Street Exchange Condominium,1228-32 ARCH ST,96.0
307,429 N. 13th Street,429 N 13TH ST,100.0
310,Clear Channel Outdoor,9130 STATE RD,91.0
311,MRA Realty,9501 E ROOSEVELT BLVD,100.0
313,"St. Anthony's Residential Associates, LP",2309-33 CARPENTER ST,97.0
320,"Chatham Apartment Associates, LP",242-52 S 49TH ST,100.0
323,444 Lofts,444 N 4TH ST,100.0
326,Paschall Senior Housing,2125 S 70TH ST,99.0
329,The Lanesborough,1601 LOCUST ST,95.0
344,1007-15 W. LEHIGH AVENUE,1007 W LEHIGH AVE,98.0
345,Pennypacker,1850 E WASHINGTON LN,94.0
348,Christ the King,3201 CHESTERFIELD RD,100.0
357,Admin - Rivera Building,2603-09 N 5TH ST,96.0
361,"Betty, Inc",1800 S CHRISTOPHER COLUMBUS BLVD,100.0
374,"Edgewood Manor Associates II, LP",1508 W ALLEGHENY AVE,92.0
377,Beacon Pointe Apartments,9503 STATE RD,100.0
397,Crane Arts LLC,1400 N AMERICAN ST,100.0
398,ST CHRISTOPHER'S ASSOC LP VIII,2622-46 N LAWRENCE ST,97.0
402,25765-Philadelphia/Castor Ave OC,2345 CASTOR AVE,91.0
405,Hancock,3700 MORRELL AVE,93.0
408,Overbrook Education Center,6714-28 LANSDOWNE AVE,92.0
425,11018 - Philadelphia Ronald McDonald House,3921-25 CHESTNUT ST,95.0
429,The Ridge Apartments,7949 RIDGE AVE,93.0
431,Decatur Rd,10551 DECATUR RD,98.0
459,Andorra Shopping Center-Kohl's,701 CATHEDRAL RD,91.0
462,SS Neumann Goretti High School,1730 S 10TH ST,100.0
471,Fairfax Apartments,4231-41 LOCUST ST,100.0
472,The Lofts At Brewerytown,3000 MASTER ST # C,96.0
485,Tacony Academy Charter School,6201 KEYSTONE ST,98.0
490,Fountain Gardens,2901 WELSH RD,92.0
491,Saint Hubert's Catholic High School for Girls,7300 TORRESDALE AVE,93.0
492,Caribe Towers,3231-65 N 2ND ST,92.0
500,United Refrigeration Inc. Warehouse 90,11451 E ROOSEVELT BLVD,93.0
501,3250 S 76th St,3250 S 76TH ST,93.0
517,Salus University,1200 W GODFREY AVE,92.0
539,7400 Roosevelt,7400 E ROOSEVELT BLVD,91.0
540,Pier 82 South,1951 S CHRISTOPHER COLUMBUS BLVD,91.0
560,Washington Square West,218-26 S 11TH ST,96.0
566,Scotts Mills,3510-30 SCOTTS LN,93.0
608,South Philadelphia,2101 S BROAD ST,92.0
616,Northeast,1601 COTTMAN AVE,92.0
639,Washington HS,10153-99 BUSTLETON AVE,91.0
641,Maplewood Nursing & Rehabilitation,125 W SCHOOL HOUSE LN,96.0
658,Bartram HS,6601 ELMWOOD AVE,96.0
662,Charles Schober Company,2000-34 N 2ND ST,98.0
665,Somerset Villas Inc,200 E SOMERSET ST,91.0
666,Stevenson Terrace Apts,6201 N 10TH ST,95.0
671,Becker Building,1151-61 N 3RD ST,100.0
673,Deb,9401 BLUE GRASS RD,99.0
681,Curtis Center,170 S INDEPENDENCE MALL W,95.0
695,Penn Treaty Park Place,1334-76 BEACH ST,92.0
696,Olney HS,5101 MASCHER ST,98.0
704,Center City 1,1326-42 SPRUCE ST,94.0
714,Southeast WPCP,25 PATTISON AVE,99.0
723,3000 Orthodox St,3000 ORTHODOX ST,96.0
724,Giant Supermarket Grant Ave,2550 GRANT AVE,93.0
735,COFCO - 2200,2200 N AMERICAN ST,92.0
739,CDC,5400 LANGDON ST,91.0
753,ISMAEL & DAHABREH LLC,5695 RISING SUN AVE,98.0
755,HELP USA 6100,6100 EASTWICK AVE,92.0
761,Tindley Temple United Methodist Church,750-62 S BROAD ST,97.0
762,Wynne Senior,2001 N 54TH ST,99.0
767,Independence Blue Cross,1901-17 MARKET ST,93.0
768,LT02184 - Five Crescent Drive,4499 S BROAD ST,93.0
784,(PA2459) - Toll Naval Square,1 ACADEMY CIR,100.0
786,Holy Redeemer Health System - Verree Rd,8580 VERREE RD,91.0
790,IRS 30th Street Campus (165),2970 MARKET ST,92.0
807,642 N. Broad,642-48 N BROAD ST,96.0
816,Roosevelt Mall-Macy's Building,7350 E ROOSEVELT BLVD,97.0
823,Pep Boys,3111 W ALLEGHENY AVE,92.0
837,615 Chestnut Street,615 CHESTNUT ST,93.0
842,Philadelphia - 215,2206 S CHRISTOPHER COLUMBUS BLVD,99.0
848,Einstein Medical Center Philadelphia,5401-65 OLD YORK RD,94.0
872,Quartermaster,2820A S 20TH ST # 12,91.0
873,Alden Park Manor - Kenilworth,2979 W SCHOOL HOUSE LN,91.0
892,DOMUS,3401L CHESTNUT ST,98.0
899,Kardon-Atlantic,1801-23 N 10TH ST,93.0
903,Hopkinson House,604-36 S WASHINGTON SQ,100.0
906,Park Towne Place,2201 PARK TOWNE PL,92.0
914,Roxborough Memorial Hospital,500 JAMESTOWN AVE,100.0
918,Produce Garden,2041-55 CORAL ST,100.0
919,24232-Philadelphia / Grant Avenue,2700 GRANT AVE,100.0
922,23216-Philadelphia / Oxford AVE,6225 OXFORD AVE,100.0
924,08128-Airport,7000 LINDBERGH BLVD,100.0
925,23103-Philadelphia / Byberry Road,1251 BYBERRY RD,100.0
926,St. Patrick's Church,250 S 20TH ST,100.0
927,Praveen Chestnut LLC,6235-41 CHESTNUT ST,100.0
928,900-58 N. 9TH STREET,900-58 N 9TH ST,100.0
929,24417-Philadelphia / Tacony Street,6301 TACONY ST,100.0
930,American Supply Co,2413-23 N AMERICAN ST,100.0
931,21808-Philadelphia / Ridge AVE,7571 RIDGE AVE,98.0
932,Pier 78 South Annex,9 SNYDER AVE,95.0
934,The Residences at 1221,1221 MOUNT VERNON ST,99.0
935,(PA3558) - 2400 South,600 S 24TH ST,100.0
939,Brewery Condominiums- Main House,825 N 29TH ST,96.0
941,2201 Cherry Street,2201 CHERRY ST,92.0
943,Bailey,1218-22 CHESTNUT ST,94.0
950,Hamilton Court,3816-36 CHESTNUT ST,100.0
951,23 A Condominium,23 S 23RD ST,100.0
953,1700 Associates,1700 WALNUT ST,100.0
954,Del Campo,1011 N HANCOCK ST,100.0
956,Locust Point Condominium Association,2429-41 LOCUST ST,100.0
960,GWC/GLC 19070/160 W ERIE AVE/PHILADELPHIA/PA,160 W ERIE AVE,96.0
964,Chimney Hill,161 LEVERINGTON AVE,94.0
970,Montesino,1010 N HANCOCK ST,100.0
983,Fishers Crossing,4901-37 STENTON AVE,92.0
990,ADR 2031 Locust LP,2027-35 LOCUST ST,99.0
994,Armory Lofts,1221-31 S BROAD ST,94.0
996,Lindley Court Apartments,1300 LINDLEY AVE,100.0
998,Admin - Education Center,440 N BROAD ST,93.0
1000,North x NorthWest (NW),450 N 18TH ST,98.0
1006,910 Cherry Street,910 CHERRY ST,93.0
1007,Pathmark Store 6556,4160 MONUMENT RD,92.0
1011,ephs realty,5704 MUSGRAVE ST,99.0
1015,428 N 13TH ST Condominium,428 N 13TH ST,100.0
1016,5215 Schuyler,5215 SCHUYLER ST,100.0
1018,7625 Suffolk Ave,7625 SUFFOLK AVE,96.0
1469,Thompson Building,1020 SANSOM ST,92.0
1470,crbuilding,1600-30 WASHINGTON AVE,97.0
1480,59th street,2001 N 59TH ST,93.0
