,Property Name,Address,Energy STAR Score
1,WPVI-TV,4100 CITY AVE,1.0
21,3401 Market St.,3401-15 MARKET ST,1.0
44,The Drake,1512-14 SPRUCE ST,3.0
52,73R49-Philadelphia Ritz Carlton,1400 S PENN SQ,1.0
54,TEMPLE UNIVERSITY HOSPITAL SUPERBLOCK,3401-41 N BROAD ST,9.0
56,Hospital of the University of Pennsylvania,3400 SPRUCE ST,8.0
57,Farm Journal,230-34 W WASHINGTON SQ,5.0
59,PLPH-Radisson Blu Warwick Hotel PA,1701-15 LOCUST ST,2.0
91,Walnut Towers,800-34 WALNUT ST 3,9.0
93,Sansom Common,3600-90 WALNUT ST,5.0
96,GT Penn & LTSR,625 E WISTER ST,6.0
98,CO/GLC 11310/1631 ARCH ST/PHILADELPHIA/PA,1631-37 ARCH ST,1.0
104,Police Administration Building,700-34 RACE ST,4.0
112,Tuttleman Building,1832-44 SOUTH ST,8.0
114,Three Parkway,3 BENJAMIN FRANKLIN PKWY,1.0
120,CO/GLC 16200/900 RACE ST/PHILADELPHIA/PA,900-22 RACE ST,1.0
135,Fitler,140-64 W SEYMOUR ST,10.0
138,Edmunds HR,1197 HAWORTH ST,9.0
193,Shallcross,3801 WOODHAVEN RD,4.0
196,Bluford,5720-38 MEDIA ST,10.0
200,McDaniel,1801 S 22ND ST,4.0
204,Stetson,243-57 E ALLEGHENY AVE,7.0
225,Hill-Freedman,1205-11 E TULPEHOCKEN ST,1.0
227,CO/GLC 19040/2514 EMERALD ST/PHILADELPHIA/PA,2514-32 EMERALD ST,3.0
232,Miller,4301-19 OGDEN ST,2.0
233,"Arbill Industries, Inc.",10450 DRUMMOND RD,2.0
264,laundry mall,413-23 E ALLEGHENY AVE,3.0
278,Saint George Senior Housing Corp,850 LOCUST ST,6.0
283,Kinsey,6501-33 LIMEKILN PIKE,5.0
306,7701 Bustleton,7701 BUSTLETON AVE,7.0
309,Comly,1001 BYBERRY RD,9.0
355,601 W Cliveden St,601 W CLIVEDEN ST,2.0
359,Philip Murray House II,6302 OLD YORK RD,8.0
363,9629 Bustleton,9629 BUSTLETON AVE,6.0
366,McCall,308-32 S 6TH ST,10.0
368,Kearny,601-19 FAIRMOUNT AVE,1.0
369,6200 Wayne,6200-08 WAYNE AVE,2.0
375,2121 Glendale,2121 GLENDALE AVE,1.0
383,Guild House East,711-39 SPRING GARDEN ST,1.0
387,4401 Conshohocken,4401 CONSHOHOCKEN AVE,1.0
406,7801 Bustleton,7801 BUSTLETON AVE,2.0
412,7801 Algon,7801 ALGON AVE,3.0
415,Comegys,5001-35 GREENWAY AVE,10.0
440,Nativity BVM Place,3255 BELGRADE ST,3.0
448,7810 Algon,7810-20 ALGON AVE,1.0
465,Old Shoe Factory Condo Association,314-22 N 12TH ST,9.0
469,Germantown Apartments (202) and Cottages (811),6950 GERMANTOWN AVE,6.0
486,2101 Glendale,2101 GLENDALE AVE,2.0
516,Bridesburg,4701 RICHMOND ST,5.0
529,FORMAN MILLS 103,401 ADAMS AVE,6.0
567,Upsal Gardens,246 W UPSAL ST,1.0
574,Liberties Walk Block 1 & 2,1030-40 N 2ND ST,3.0
589,Willard,1930 E ELKHART ST,8.0
605,The Moravian at Independence,121-35 WALNUT ST,1.0
618,6451 Oxford Ave,6451-61 OXFORD AVE,1.0
620,Francis House of Peace,810 ARCH ST,1.0
625,The McCallum,6635 MCCALLUM ST,8.0
627,Neumann Senior Housing,1601 E PALMER ST,9.0
633,Juniata Park,801-39 E HUNTING PARK AVE,9.0
645,"135 South 18th Street, Philadelphia",135 S 18TH ST,9.0
653,Pensdale Housing Inc.,420 PENSDALE ST,1.0
698,Council for Two Twenty West Rittenhouse Square,220 W RITTENHOUSE SQ,2.0
706,The Touraine Apartments,1520-28 SPRUCE ST,4.0
713,Paul's Run,9882-90 BUSTLETON AVE,1.0
732,3701 Market St.,3701 MARKET ST,1.0
740,(PA2473) - Rittenhouse Condo & Hotel,202-10 W RITTENHOUSE SQ,5.0
750,Parc Rittenhouse Condominium,219-29 S 18TH ST,1.0
751,International House Philadelphia,3701-15 CHESTNUT ST,6.0
776,Philadelphia Nursing Home,2100 W GIRARD AVE,1.0
787,The Philadelphia Design Building,2300-20 CHESTNUT ST,1.0
799,US Treasury Building,13000 TOWNSEND RD,10.0
801,Dorchester Owners Association,224-30 W RITTENHOUSE SQ,4.0
