building_id,street_address,postal_code,energy_star_score,property_name
785548000.0,450 W NEDRO AVE,19120.0,11,Lowell
884240500.0,10814 NE AVENUE,19116.0,Not Available,10814 NE AVENUE
784378000.0,6000 RIDGE AVE,19128.0,54,Levering
783183400.0,5001 GREENWAY AVE,19143.0,4,Comegys
771637200.0,401 South Broad Street,19147.0,Not Available,Gershman Hall
775501010.0,4201 Henry Ave,19144.0,Not Available,Philadelphia University
774517051.0,3200 Chestnut Street,19104.0,Not Available,8-Creese
882065510.0,2327 Cottman Ave,19149.0,96,Roosevelt Mall-Macy's Building
777570000.0,1301 C.B. MOORE,19122.0,Not Available,RITTER HALL
884203500.0,2045 Wheatsheef Lain,19134.0,84,2045 Wheatsheef Lain
884292580.0,2709 Commerce Way,19154.0,89,Almo Corporation
781092450.0,1301 Filbert Street,19107.0,41,Criminal Justice Center (CJC)
884048000.0,500 E Erie Ave,19134.0,87,500 Erie Ave
884201500.0,2136 Onterio Street Pump,19134.0,100,2135 West Moreland Part
883427500.0,220 S Broad St,19102.0,Not Available,Bellevue Associates
882693016.0,1455 Franklin Mills Circle,19154.0,Not Available,Franklin Mills Mall
884170400.0,8350 Executive Avenue,,Not Available,8350 Executive Drive Associates
777014000.0,"Rock, Park Ave, Parkinson",19140.0,2,TEMPLE UNIVERSITY HOSPITAL SUPERBLOCK
883710000.0,One Dock Street,19106.0,34,Sheraton Hotel-Philadelphia Society Hill
773080515.0,3921 Chestnut St,19104.0,90,Philadelphia Ronald McDonald House
786056400.0,595 TOMLINSON RD,19116.0,73,Loesche
786458400.0,5735 RISING SUN AVE,19120.0,46,Franklin ES
783029800.0,5300 BALTIMORE AVE,19143.0,63,Harrington
783364400.0,4300 WESTMINISTER AVE,19104.0,1,Miller
783782600.0,1034 SOUTH 6OTH ST,19143.0,60,Anderson
782462200.0,22ND & RITNER ST,19145.0,12,GAMP
781043800.0,1122 CATHARINE ST,19147.0,73,Palumbo
783262225.0,6722 LANSDOWNE AVE,19151.0,79,Overbrook Education Center
786636550.0,3300 N 3RD ST,19140.0,13,Munoz Marin
786272100.0,401 W LEHIGH AV,19133.0,67,deBurgos
786072800.0,1849 E CLEARFIELD AVE,19134.0,77,Conwell
784048800.0,601 CARPENTER LN,19119.0,55,Henry
785046000.0,67 E BRINGHURST ST,19144.0,83,Wister
782791400.0,2100 Moore St,19145.0,2,McDaniel
786491000.0,1900 E SERGEANT ST,19125.0,57,Brown HA
781462800.0,1101 NORTH 4TH ST,19123.0,39,Bodine
883400500.0,834 Walnut St,19106.0,9,Walnut Towers
771032200.0,One N.Broad Street,19107.0,Not Available,Masonic Temple
888054315.0,"834 Chestnut Street, Philadelphia, PA 19107",19107.0,20,"834 Chestnut Street, Philadelphia"
881026300.0,135 S. 20th Street,19103.0,95,The Chatham
884072000.0,900 N. 9TH STREET,19123.0,100,900-58 N. 9TH STREET
884463835.0,2101 S. Columbus Blvd,19148.0,Not Available,Pier 80 South
884604601.0,2400 NORTH AMERICAN STREET,19133.0,78,COFCO - 2400
771528000.0,1901 S. Columbus Blvd,19148.0,70,Pier 74 Annex
883060510.0,1601 Cherry Street,19102.0,83,Three Parkway
883058000.0,1650 Arch Street,19103.0,75,Arch 1650 Partners LP
788013000.0,Three Crescent Drive,19112.0,29,L02152 - Three Crescent Drive
883006500.0,510 Walnut Street,19106.0,83,One Washington Square
883048000.0,230 S. Broad St.,19102.0,54,230 S. Broad
882506600.0,907 Market Street,19107.0,Not Available,907 Market
883095000.0,12345 roosevelt blvd,19154.0,22,crown cork and seal usa inc.
884291510.0,2825 Southampton Rd,19154.0,100,2825-2845 Southampton Rd
782003200.0,1401 JFK Blvd,19102.0,67,Municipal Services Building (MSB)
882072200.0,5627 GERMANTOWN AVENUE,19144.0,Not Available,5627-33 GERMANTOWN AVENUE
