Time Period,Snapchat,Instagram,Twitter,Facebook,Tumblr,Pinterest,Google+,Other
Fall 2012,,12.0,27.0,42.0,3.0,2.0,6.0,2.0
Spring 2013,,17.0,30.0,33.0,4.0,2.0,5.0,4.0
Fall 2013,,27.0,31.0,27.0,5.0,2.0,4.0,2.0
Spring 2014,,30.0,27.0,23.0,5.0,2.0,4.0,4.0
Spring 2015,11.0,29.0,21.0,12.0,4.0,2.0,1.0,8.0
Fall 2015,17.0,29.0,18.0,13.0,3.0,1.0,1.0,8.0
Spring 2016,24.0,23.0,16.0,15.0,2.0,1.0,1.0,5.0
Fall 2016,35.0,24.0,13.0,13.0,,1.0,1.0,
Spring 2017,39.0,23.0,11.0,11.0,,1.0,,
Fall 2017,47.0,24.0,7.0,9.0,,,,
Spring 2018,45.0,26.0,9.0,8.0,,1.0,,
Fall 2018,46.0,32.0,6.0,6.0,,1.0,,
Spring 2019,41.0,35.0,6.0,6.0,,1.0,,
,33.888888888888886,25.46153846153846,17.076923076923077,16.76923076923077,3.7142857142857144,1.4166666666666667,2.875,4.714285714285714
