Time Period,Snapchat,Instagram,Twitter,Facebook,Tumblr,Pinterest,Google+,Other
Fall 2012,,12,27,42,3.0,2.0,6.0,2.0
Spring 2013,,17,30,33,4.0,2.0,5.0,4.0
Fall 2013,,27,31,27,5.0,2.0,4.0,2.0
Spring 2014,,30,27,23,5.0,2.0,4.0,4.0
Spring 2015,11.0,29,21,12,4.0,2.0,1.0,8.0
Fall 2015,17.0,29,18,13,3.0,1.0,1.0,8.0
Spring 2016,24.0,23,16,15,2.0,1.0,1.0,5.0
Fall 2016,35.0,24,13,13,,1.0,1.0,
Spring 2017,39.0,23,11,11,,1.0,,
Fall 2017,47.0,24,7,9,,,,
Spring 2018,45.0,26,9,8,,1.0,,
Fall 2018,46.0,32,6,6,,1.0,,
Spring 2019,41.0,35,6,6,,1.0,,
