Damaging Discoveries,Percentage
"Provocative or inappropriate photographs, videos or information",40.0
Evidence of candidate drinking or using drugs,36.0
"Discriminatory comments related to race, gender, religion",31.0
Was linked to criminal behavior,30.0
Lied about qualifications,27.0
Had poor communication skills,27.0
Bad-mouthed their previous company or fellow employee,25.0
Screen name was unprofessional,22.0
Shared confidential information from previous employers,20.0
Lied about an absence,16.0
Posted too frequently,12.0
