Damaging social media discoveries made by online recruiters 2018,,
Social media discoveries made by online recruiters that lead to a candidate not getting a job as of May 2018,,
,,
"Provocative or inappropriate photographs, videos or information",40,in %
Evidence of candidate drinking or using drugs,36,in %
"Discriminatory comments related to race, gender, religion",31,in %
Was linked to criminal behavior,30,in %
Lied about qualifications,27,in %
Had poor communication skills,27,in %
Bad-mouthed their previous company or fellow employee,25,in %
Screen name was unprofessional,22,in %
Shared confidential information from previous employers,20,in %
Lied about an absence,16,in %
Posted too frequently,12,in %
