,Administrative_Area,geodata_coordinates
0,Severo-Vostochny'j administrativny'j okrug,"[37.650781000098, 55.889628000166]"
1,Severo-Vostochny'j administrativny'j okrug,"[37.570776999572, 55.896533000007]"
2,Severo-Vostochny'j administrativny'j okrug,"[37.612922000116, 55.857407000177]"
3,Severo-Vostochny'j administrativny'j okrug,"[37.613732000228, 55.856873000223]"
4,Severo-Vostochny'j administrativny'j okrug,"[37.604735999681, 55.859910999858]"
5,Severo-Vostochny'j administrativny'j okrug,"[37.591230999889, 55.883355000053]"
6,Severo-Vostochny'j administrativny'j okrug,"[37.616176999734, 55.789415999761]"
7,Severo-Vostochny'j administrativny'j okrug,"[37.622192000299, 55.793706999946]"
8,Severo-Vostochny'j administrativny'j okrug,"[37.603124999678, 55.787099000231]"
9,Severo-Vostochny'j administrativny'j okrug,"[37.653290000077, 55.827312000086]"
10,Severo-Vostochny'j administrativny'j okrug,"[37.65183100041, 55.884897000173]"
11,Severo-Vostochny'j administrativny'j okrug,"[37.658056999963, 55.817217999872]"
12,Severo-Vostochny'j administrativny'j okrug,"[37.653676999691, 55.837235000206]"
13,Severo-Vostochny'j administrativny'j okrug,"[37.690287000069, 55.852797999857]"
14,Severo-Vostochny'j administrativny'j okrug,"[37.654480999955, 55.868075000206]"
15,Severo-Vostochny'j administrativny'j okrug,"[37.69594299971, 55.864922999947]"
16,Severo-Vostochny'j administrativny'j okrug,"[37.664243000233, 55.891109999796]"
17,Severo-Vostochny'j administrativny'j okrug,"[37.719983000081, 55.880987000206]"
18,Severo-Vostochny'j administrativny'j okrug,"[37.718627000347, 55.874295000249]"
19,Severo-Vostochny'j administrativny'j okrug,"[37.683001000158, 55.884723999827]"
20,Severo-Vostochny'j administrativny'j okrug,"[37.688891999976, 55.879302999896]"
21,Severo-Vostochny'j administrativny'j okrug,"[37.65903600013, 55.890495000159]"
22,Severo-Vostochny'j administrativny'j okrug,"[37.586505000011, 55.817642999868]"
23,Severo-Vostochny'j administrativny'j okrug,"[37.626826000116, 55.817960000195]"
24,Severo-Vostochny'j administrativny'j okrug,"[37.662337999603, 55.818512000061]"
25,Severo-Vostochny'j administrativny'j okrug,"[37.596588999605, 55.863391999962]"
26,Severo-Vostochny'j administrativny'j okrug,"[37.656970999667, 55.890502999771]"
27,Severo-Vostochny'j administrativny'j okrug,"[37.608500000011, 55.86830899986]"
28,Severo-Vostochny'j administrativny'j okrug,"[37.625845000300004, 55.895537999796]"
29,Severo-Vostochny'j administrativny'j okrug,"[37.609719000376, 55.900881999972]"
30,Severo-Vostochny'j administrativny'j okrug,"[37.608144000358, 55.888179999753]"
31,Severo-Vostochny'j administrativny'j okrug,"[37.612743000016, 55.890883000107]"
32,Severo-Vostochny'j administrativny'j okrug,"[37.680794000303, 55.872516999877]"
33,Severo-Vostochny'j administrativny'j okrug,"[37.679557000394, 55.863480000091]"
34,Severo-Vostochny'j administrativny'j okrug,"[37.642894000313, 55.874799000033]"
35,Severo-Vostochny'j administrativny'j okrug,"[37.641772999856, 55.874423999764]"
36,Severo-Vostochny'j administrativny'j okrug,"[37.671186000012, 55.866219999834]"
37,Severo-Vostochny'j administrativny'j okrug,"[37.652069999886, 55.826980000166]"
38,Severo-Vostochny'j administrativny'j okrug,"[37.667591999562, 55.8237349998]"
39,Severo-Vostochny'j administrativny'j okrug,"[37.614212999553, 55.870720000057]"
40,Severo-Vostochny'j administrativny'j okrug,"[37.611676999811, 55.898552000069]"
41,Severo-Vostochny'j administrativny'j okrug,"[37.60964099966, 55.871955999972]"
42,Severo-Vostochny'j administrativny'j okrug,"[37.617196999908, 55.896850000038]"
43,Severo-Vostochny'j administrativny'j okrug,"[37.606508000241, 55.869280999812]"
44,Severo-Vostochny'j administrativny'j okrug,"[37.616369000253, 55.895964999881]"
45,Severo-Vostochny'j administrativny'j okrug,"[37.597187000005, 55.868904000177]"
46,Yugo-Zapadny'j administrativny'j okrug,"[37.576295000019, 55.567109000042]"
47,Yugo-Zapadny'j administrativny'j okrug,"[37.581410000061, 55.570100000211]"
48,Yugo-Vostochny'j administrativny'j okrug,"[37.743322999946, 55.688529999784]"
49,Czentral`ny'j administrativny'j okrug,"[37.58196200043, 55.772759999842]"
50,Zapadny'j administrativny'j okrug,"[37.477930000126, 55.741668999885]"
51,Zapadny'j administrativny'j okrug,"[37.456392999886, 55.711857000089]"
52,Zapadny'j administrativny'j okrug,"[37.394455000072, 55.738816999948]"
53,Yugo-Zapadny'j administrativny'j okrug,"[37.525419000142, 55.663670000194]"
54,Yugo-Zapadny'j administrativny'j okrug,"[37.538287999899, 55.592686000035]"
55,Yugo-Zapadny'j administrativny'j okrug,"[37.566648000268, 55.672507000026]"
56,Yugo-Zapadny'j administrativny'j okrug,"[37.5174889998, 55.598122999832]"
57,Yugo-Zapadny'j administrativny'j okrug,"[37.529407999704, 55.687113000237]"
58,Yugo-Zapadny'j administrativny'j okrug,"[37.595118000242, 55.66793000002]"
59,Yugo-Zapadny'j administrativny'j okrug,"[37.595965999989, 55.67564199984]"
60,Yugo-Zapadny'j administrativny'j okrug,"[37.589700000252, 55.671923000003]"
61,Yugo-Zapadny'j administrativny'j okrug,"[37.517743000243, 55.606053999951]"
62,Yugo-Zapadny'j administrativny'j okrug,"[37.534654000164, 55.634584999833]"
63,Yugo-Zapadny'j administrativny'j okrug,"[37.517636999938, 55.59941499975]"
64,Yugo-Zapadny'j administrativny'j okrug,"[37.528041999923, 55.635074999749]"
65,Yugo-Zapadny'j administrativny'j okrug,"[37.532469999876, 55.662903999809]"
66,Yuzhny'j administrativny'j okrug,"[37.753563999899, 55.609303999812]"
67,Yuzhny'j administrativny'j okrug,"[37.582744000054, 55.617792999769]"
68,Yuzhny'j administrativny'j okrug,"[37.604221999845, 55.693304999924]"
69,Yuzhny'j administrativny'j okrug,"[37.612472999679, 55.645841000022]"
70,Yuzhny'j administrativny'j okrug,"[37.611923999683, 55.710559999879]"
71,Yuzhny'j administrativny'j okrug,"[37.713189000265, 55.601047000106]"
72,Yuzhny'j administrativny'j okrug,"[37.665859000258, 55.584829999937]"
73,Yuzhny'j administrativny'j okrug,"[37.713032999731, 55.61166499987]"
74,Yuzhny'j administrativny'j okrug,"[37.6054689998, 55.591408999804]"
75,Yuzhny'j administrativny'j okrug,"[37.652070999711, 55.582087000182]"
76,Yuzhny'j administrativny'j okrug,"[37.649600000266, 55.583297999756]"
77,Yuzhny'j administrativny'j okrug,"[37.688359999698, 55.581578000153]"
78,Yuzhny'j administrativny'j okrug,"[37.75546699998, 55.62082999987]"
79,Zapadny'j administrativny'j okrug,"[37.464755999872, 55.669119999748]"
80,Zapadny'j administrativny'j okrug,"[37.41392699985, 55.77069900009]"
81,Zapadny'j administrativny'j okrug,"[37.414947000024, 55.764806999816]"
82,Yuzhny'j administrativny'j okrug,"[37.701210999912, 55.619606999923]"
83,Yuzhny'j administrativny'j okrug,"[37.699527000114, 55.618747999939]"
84,Yuzhny'j administrativny'j okrug,"[37.725744000203, 55.616073999991]"
85,Yuzhny'j administrativny'j okrug,"[37.672739000288, 55.584611000134]"
86,Yuzhny'j administrativny'j okrug,"[37.666886000105, 55.574838999808]"
87,Yuzhny'j administrativny'j okrug,"[37.746390000141, 55.617627999847]"
88,Yuzhny'j administrativny'j okrug,"[37.736765999956, 55.615196999931]"
89,Yuzhny'j administrativny'j okrug,"[37.674110999917, 55.584997000155]"
90,Yuzhny'j administrativny'j okrug,"[37.677701999994, 55.582642000234]"
91,Yuzhny'j administrativny'j okrug,"[37.689123999779, 55.583418000092]"
92,Yuzhny'j administrativny'j okrug,"[37.751249999914, 55.609139000191]"
93,Yuzhny'j administrativny'j okrug,"[37.63198499964, 55.676756999977]"
94,Yuzhny'j administrativny'j okrug,"[37.643427000415, 55.681644999798]"
95,Yuzhny'j administrativny'j okrug,"[37.746020000245, 55.60296100021]"
96,Yuzhny'j administrativny'j okrug,"[37.675003000044, 55.640799999981]"
97,Yuzhny'j administrativny'j okrug,"[37.757402999673, 55.620703000241]"
98,Yuzhny'j administrativny'j okrug,"[37.749330999939, 55.624698000049]"
99,Yuzhny'j administrativny'j okrug,"[37.739679000165, 55.619474999758]"
100,Yugo-Zapadny'j administrativny'j okrug,"[37.540129999881, 55.592246000049]"
101,Yugo-Zapadny'j administrativny'j okrug,"[37.577988999863, 55.704896000005]"
102,Yugo-Zapadny'j administrativny'j okrug,"[37.52229599987, 55.62904099979]"
103,Yugo-Zapadny'j administrativny'j okrug,"[37.563356999767, 55.548351000115]"
104,Yugo-Zapadny'j administrativny'j okrug,"[37.551231999999, 55.674091999793]"
