,Administrative_Area,geodata_coordinates
0,Czentral`ny'j administrativny'j okrug,"[37.599599999724, 55.746900000147]"
1,Czentral`ny'j administrativny'j okrug,"[37.600599999806, 55.750899999798]"
2,Czentral`ny'j administrativny'j okrug,"[37.599999999757, 55.755399999791]"
3,Czentral`ny'j administrativny'j okrug,"[37.5985, 55.7573]"
4,Czentral`ny'j administrativny'j okrug,"[37.602199999939, 55.761600000013]"
5,Czentral`ny'j administrativny'j okrug,"[37.6051, 55.7646]"
6,Czentral`ny'j administrativny'j okrug,"[37.6095, 55.7667]"
7,Czentral`ny'j administrativny'j okrug,"[37.613100000391, 55.768099999796]"
8,Czentral`ny'j administrativny'j okrug,"[37.631468, 55.760244]"
9,Czentral`ny'j administrativny'j okrug,"[37.641700000061, 55.7631]"
10,Czentral`ny'j administrativny'j okrug,"[37.6455, 55.7603]"
11,Czentral`ny'j administrativny'j okrug,"[37.647299999626, 55.75729999998]"
12,Czentral`ny'j administrativny'j okrug,"[37.648400000166, 55.755399999791]"
13,Czentral`ny'j administrativny'j okrug,"[37.647400000084, 55.753299999892]"
14,Czentral`ny'j administrativny'j okrug,"[37.6096, 55.7621]"
15,Czentral`ny'j administrativny'j okrug,"[37.625079, 55.760656]"
16,Czentral`ny'j administrativny'j okrug,"[37.612399, 55.759292]"
17,Czentral`ny'j administrativny'j okrug,"[37.622999999862, 55.76220000016]"
18,Czentral`ny'j administrativny'j okrug,"[37.6367, 55.7654]"
19,Czentral`ny'j administrativny'j okrug,"[37.626047, 55.76002]"
20,Czentral`ny'j administrativny'j okrug,"[37.641500000045, 55.767100000194]"
21,Yugo-Zapadny'j administrativny'j okrug,"[37.57968799973, 55.701583000174]"
22,Czentral`ny'j administrativny'j okrug,"[37.5969, 55.7336]"
23,Czentral`ny'j administrativny'j okrug,"[37.5899, 55.7257]"
24,Czentral`ny'j administrativny'j okrug,"[37.584200000247, 55.727400000092]"
25,Czentral`ny'j administrativny'j okrug,"[37.579100000274, 55.724199999924]"
26,Czentral`ny'j administrativny'j okrug,"[37.5864, 55.7217]"
27,Czentral`ny'j administrativny'j okrug,"[37.575900000009, 55.721999999969]"
28,Czentral`ny'j administrativny'j okrug,"[37.5835, 55.7192]"
29,Czentral`ny'j administrativny'j okrug,"[37.578, 55.7155]"
30,Czentral`ny'j administrativny'j okrug,"[37.5695, 55.7126]"
31,Czentral`ny'j administrativny'j okrug,"[37.560000000042, 55.711599999953]"
32,Czentral`ny'j administrativny'j okrug,"[37.550408, 55.727605]"
33,Czentral`ny'j administrativny'j okrug,"[37.642500000128, 55.758999999852]"
34,Czentral`ny'j administrativny'j okrug,"[37.5617, 55.7218]"
35,Czentral`ny'j administrativny'j okrug,"[37.595827, 55.736415]"
36,Zapadny'j administrativny'j okrug,"[37.545599999749, 55.700800000208]"
37,Zapadny'j administrativny'j okrug,"[37.534100000145, 55.694599999918]"
38,Czentral`ny'j administrativny'j okrug,"[37.541800000333, 55.708300000246]"
39,Czentral`ny'j administrativny'j okrug,"[37.625600000077, 55.740800000177]"
40,Czentral`ny'j administrativny'j okrug,"[37.620199999631, 55.742899999955]"
41,Czentral`ny'j administrativny'j okrug,"[37.632493, 55.74809]"
