,kiosk_id,geometry_coordinates,street_address,zip_code,Launch_Date
0,3004,"[-75.16374, 39.95378]",1401 John F. Kennedy Blvd.,19102,4/23/2015
1,3005,"[-75.14403, 39.94733]",191 S. 2nd St.,19106,4/23/2015
2,3006,"[-75.20311, 39.9522]",246 S. 40th St.,19104,4/23/2015
3,3007,"[-75.15993, 39.94517]",328 S. 11th St.,19107,4/23/2015
4,3008,"[-75.15055, 39.98078]",1076 Berks Street,19122,4/23/2015
5,3009,"[-75.18982, 39.95576]",3318 Market St.,19104,4/23/2015
6,3010,"[-75.16618, 39.94711]",1483 Spruce St.,19102,4/23/2015
7,3011,"[-75.1969, 39.95949]",3788 Powelton Avenue,19104,4/23/2015
8,3012,"[-75.17747, 39.94218]",807 S. 21st St.,19149,4/23/2015
9,3013,"[-75.14792, 39.96317]",674 N. 6th St.,19123,4/23/2015
10,3014,"[-75.17369, 39.95886]",2090 Winter St.,19103,4/23/2015
11,3015,"[-75.14886, 39.94735]",422 Walnut St.,19106,4/23/2015
12,3016,"[-75.1547, 39.96892]",1100 Poplar St.,19123,4/23/2015
13,3017,"[-75.14371, 39.98003]",527 W. Berks St.,19122,4/23/2015
14,3018,"[-75.15979, 39.95273]",1200 Filbert St.,19107,4/29/2015
15,3019,"[-75.14983, 39.95403]",160 N. 6th St.,19106,4/29/2015
16,3020,"[-75.19036, 39.94922]",3051 South St.,19147,4/23/2015
17,3021,"[-75.16902, 39.9539]",1750 John F. Kennedy Blvd.,19103,4/23/2015
18,3022,"[-75.18323, 39.95472]",2933 Market Street,19104,4/23/2015
19,3024,"[-75.20908, 39.94822]",598 S. 43rd St.,19104,4/23/2015
20,3025,"[-75.1612, 39.93724]",1084 Washington Ave.,19147,4/23/2015
21,3026,"[-75.14564, 39.94138]",523 S. 2nd St.,19147,4/23/2015
22,3027,"[-75.20069, 39.95694]",3984 Market St.,19104,4/23/2015
23,3028,"[-75.14958, 39.94061]",404 Bainbridge St.,19147,4/23/2015
