,bicycle_count,bicycle_death_count,crash_year,dec_lat,dec_long
28,1,0,2017,39.9911,-75.1329
36,1,0,2017,39.9374,-75.163
119,1,0,2017,40.0404,-75.0655
132,1,0,2017,39.9612,-75.1749
151,1,0,2017,39.9441,-75.1535
196,1,0,2017,40.0324,-75.2325
201,1,0,2017,39.9965,-75.1137
209,1,0,2017,39.9731,-75.1484
242,1,0,2017,39.9736,-75.1871
253,1,0,2017,40.0072,-75.1274
267,1,0,2017,40.0446,-75.0522
313,1,0,2017,40.0291,-75.0622
321,1,0,2017,39.9326,-75.1813
333,1,0,2017,40.0795,-74.9918
369,1,0,2017,40.0309,-75.2286
371,1,0,2017,39.9875,-75.1784
395,1,0,2017,39.9482,-75.1743
403,1,0,2017,40.0414,-75.0283
459,1,0,2017,40.007,-75.1889
511,1,0,2017,40.0466,-75.0318
661,1,0,2017,39.9611,-75.1595
722,1,0,2017,39.9542,-75.1781
733,1,0,2017,39.9634,-75.1875
762,1,0,2017,39.9533,-75.1838
777,1,0,2017,39.9503,-75.164
788,1,0,2017,40.1033,-74.9999
796,1,0,2017,39.9585,-75.1487
817,1,0,2017,40.0403,-75.0585
852,1,0,2017,39.9972,-75.1194
856,1,0,2017,39.9993,-75.1333
906,1,0,2017,39.9501,-75.1459
919,1,0,2017,39.9516,-75.1575
1122,1,0,2017,39.9522,-75.1923
1156,1,0,2017,39.9474,-75.2204
1160,1,0,2017,39.9864,-75.1813
1163,1,0,2017,40.0422,-75.1306
1169,1,0,2017,39.9614,-75.1498
1170,1,0,2017,39.967,-75.2301
1315,1,0,2017,39.9705,-75.1368
1405,1,0,2017,39.9286,-75.1537
1580,1,0,2017,39.9365,-75.1487
1647,1,0,2017,39.9379,-75.1667
1653,1,0,2017,39.9546,-75.226
1659,1,0,2017,39.9686,-75.2435
1676,1,0,2017,39.9542,-75.178
1688,1,0,2017,39.93,-75.1647
1710,1,0,2017,39.995,-75.1157
1716,1,0,2017,39.9909,-75.1221
1759,1,0,2017,39.9397,-75.189
1810,1,0,2017,40.0642,-75.0469
1819,1,0,2017,39.9334,-75.1811
1922,1,0,2017,40.0355,-75.2355
1964,1,0,2017,39.9913,-75.1767
2050,1,0,2017,39.9585,-75.2252
2145,1,0,2017,40.0153,-75.2081
2150,1,0,2017,39.9589,-75.16
2155,1,0,2017,39.9614,-75.1498
2178,1,0,2017,39.955,-75.1527
2217,1,0,2017,40.1142,-75.0284
2221,1,0,2017,39.9532,-75.1651
2303,1,0,2017,39.9548,-75.1664
2328,1,0,2017,39.9478,-75.1713
2357,1,0,2017,39.9859,-75.1235
2366,1,0,2017,39.9531,-75.1596
2496,1,0,2017,39.9668,-75.2119
2515,1,0,2017,39.9303,-75.1734
2559,1,0,2017,39.9616,-75.175
2577,1,0,2017,39.9549,-75.1839
2580,1,0,2017,39.9909,-75.1551
2609,1,0,2017,40.0038,-75.1242
2610,1,0,2017,39.9395,-75.1798
2613,1,0,2017,39.9314,-75.2428
