tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-M006,Indian Wells,Hard,128,P,20160307,269,200033,1,,Serena Williams,R,175.0,USA,34.44490075,1.0,9245.0,201696,,Q,Laura Siegemund,R,168.0,GER,28.00821355,79.0,801.0,6-2 6-1,3,R64,63.0,4.0,1.0,51.0,28.0,21.0,15.0,8.0,3.0,3.0,2.0,6.0,41.0,27.0,15.0,4.0,7.0,3.0,7.0,2,42.857142857142854,100.0
2016-1068,Nurnberg,Clay,32,I,20160516,270,201696,2,,Laura Siegemund,R,168.0,GER,28.19986311,39.0,1328.0,203379,,Q,Marina Melnikova,R,173.0,RUS,27.27446954,247.0,193.0,6-1 6-0,3,R32,54.0,1.0,0.0,33.0,24.0,20.0,4.0,6.0,0.0,0.0,0.0,4.0,40.0,29.0,10.0,5.0,7.0,1.0,7.0,2,14.285714285714285,
2016-1063,Shenzhen,Hard,32,I,20160104,288,201693,,,Timea Babos,R,179.0,HUN,22.65297741,70.0,863.0,201512,4,,Monica Niculescu,R,168.0,ROU,28.27652293,39.0,1245.0,6-1 6-4,3,R16,100.0,3.0,1.0,87.0,63.0,41.0,8.0,9.0,8.0,10.0,0.0,2.0,50.0,36.0,19.0,3.0,8.0,2.0,7.0,2,28.57142857142857,80.0
2016-M015,Beijing,Hard,64,P,20161003,250,202427,11,,Johanna Konta,R,180.0,GBR,25.38261465,14.0,2835.0,201545,,,Anastasija Sevastova,U,169.0,LAT,26.47501711,30.0,1540.0,6-1 6-1,3,R64,56.0,0.0,2.0,39.0,19.0,17.0,13.0,7.0,1.0,1.0,2.0,3.0,52.0,22.0,12.0,10.0,7.0,2.0,7.0,2,28.57142857142857,100.0
2016-1064,Florianopolis,Hard,32,I,20160801,281,211533,4,,Jelena Ostapenko,R,177.0,LAT,19.14852841,41.0,1360.0,203297,,Q,Nadiya Kichenok,R,,UKR,24.03285421,419.0,79.0,6-4 6-4,3,R32,78.0,7.0,7.0,58.0,29.0,24.0,15.0,10.0,2.0,4.0,1.0,5.0,62.0,35.0,21.0,12.0,10.0,1.0,5.0,2,20.0,50.0
2016-1074,Hong Kong,Hard,32,I,20161010,278,201614,6,,Caroline Garcia,R,177.0,FRA,22.98425736,25.0,1730.0,206124,,Q,Tereza Martincova,U,178.0,CZE,21.96303901,164.0,349.0,6-3 6-0,3,R32,50.0,0.0,3.0,37.0,22.0,17.0,10.0,7.0,0.0,1.0,1.0,1.0,49.0,31.0,13.0,6.0,8.0,4.0,10.0,2,40.0,0.0
2016-560,Us Open,Hard,128,G,20160829,102,201596,,,Johanna Larsson,R,174.0,SWE,28.03285421,47.0,1110.0,201498,,,Karin Knapp,R,180.0,ITA,29.17180014,130.0,458.0,6-4 6-2,3,R128,91.0,1.0,2.0,55.0,36.0,24.0,11.0,9.0,2.0,4.0,2.0,8.0,69.0,27.0,15.0,18.0,9.0,3.0,8.0,2,37.5,50.0
2016-M007,Miami,Hard,128,P,20160321,277,201512,32,,Monica Niculescu,R,168.0,ROU,28.48733744,33.0,1410.0,201535,,,Coco Vandeweghe,R,185.0,USA,24.29021218,38.0,1271.0,6-4 6-1,3,R32,102.0,0.0,3.0,59.0,43.0,27.0,5.0,8.0,3.0,6.0,4.0,6.0,61.0,32.0,22.0,3.0,9.0,5.0,12.0,2,41.66666666666667,50.0
2016-O16,Olympics,Hard,64,I,20160808,147,201493,2,,Angelique Kerber,L,173.0,GER,28.55578371,2.0,6380.0,202446,,,Eugenie Bouchard,R,178.0,CAN,22.45037645,40.0,1400.0,6-4 6-2 ,3,R32,81.0,1.0,2.0,55.0,40.0,26.0,10.0,9.0,4.0,5.0,3.0,3.0,81.0,47.0,27.0,16.0,9.0,8.0,12.0,2,66.66666666666666,80.0
2016-580,Australian Open,Hard,128,G,20160118,159,201421,20,,Ana Ivanovic,R,183.0,SRB,28.19986311,23.0,2341.0,203526,,,Tammi Patterson,R,,AUS,26.03969884,459.0,65.0,6-2 6-3,3,R128,74.0,4.0,3.0,57.0,30.0,25.0,15.0,9.0,0.0,0.0,0.0,4.0,58.0,35.0,24.0,9.0,8.0,6.0,9.0,2,66.66666666666666,
