tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-1068,Nurnberg,Clay,32,I,20160516,270,201696,2,,Laura Siegemund,R,168.0,GER,28.19986311,39.0,1328.0,203379,,Q,Marina Melnikova,R,173.0,RUS,27.27446954,247.0,193.0,6-1 6-0,3,R32,54.0,1.0,0.0,33.0,24.0,20.0,4.0,6.0,0.0,0.0,0.0,4.0,40.0,29.0,10.0,5.0,7.0,1.0,7.0,2,14.285714285714285,
2016-W-FC-2016-WG-PO-RUS-BLR-01,Fed Cup WG R1: RUS vs BLR,Clay,4,D,20160416,3,201458,,,Victoria Azarenka,R,180.0,BLR,26.69678303,5.0,4530.0,214082,,,Darya Kasatkina,R,170.0,RUS,18.92950034,32.0,1454.0,6-2 5-7 6-3,3,RR,134.0,2.0,12.0,98.0,64.0,39.0,13.0,15.0,6.0,11.0,3.0,6.0,82.0,45.0,28.0,13.0,14.0,2.0,10.0,3,20.0,54.54545454545454
2016-1082,Prague,Clay,32,I,20160425,282,206252,,LL,Barbora Krejcikova,R,178.0,CZE,20.35318275,192.0,270.0,201495,7,,Dominika Cibulkova,R,161.0,SVK,26.970568100000005,38.0,1301.0,6-2 6-2,3,R32,82.0,5.0,3.0,52.0,31.0,25.0,11.0,8.0,1.0,1.0,0.0,1.0,47.0,36.0,17.0,6.0,8.0,1.0,5.0,2,20.0,100.0
2016-1005,Rabat,Clay,32,I,20160425,294,201523,,Q,Marina Erakovic,R,174.0,NZL,28.13689254,186.0,283.0,202434,,Q,Aleksandra Krunic,R,163.0,SRB,23.11293635,123.0,511.0,6-4 6-4,3,QF,88.0,0.0,2.0,71.0,56.0,36.0,6.0,10.0,3.0,5.0,3.0,2.0,65.0,55.0,33.0,3.0,10.0,1.0,5.0,2,20.0,60.0
2016-520,French Open,Clay,128,G,20160523,199,201709,,,Yulia Putintseva,R,163.0,KAZ,21.374401100000004,60.0,1025.0,201498,,,Karin Knapp,R,180.0,ITA,28.90349076,118.0,565.0,6-1 6-1,3,R32,74.0,0.0,0.0,44.0,35.0,24.0,7.0,7.0,4.0,4.0,2.0,1.0,60.0,43.0,22.0,5.0,7.0,6.0,11.0,2,54.54545454545454,100.0
2016-1094,Gstaad,Clay,32,I,20160711,273,202470,5,,Annika Beck,R,170.0,GER,22.39835729,38.0,1413.0,201523,,,Marina Erakovic,R,174.0,NZL,28.34770705,115.0,532.0,3-6 6-2 7-5,3,R32,125.0,2.0,3.0,115.0,93.0,52.0,8.0,14.0,7.0,13.0,2.0,7.0,85.0,56.0,33.0,8.0,15.0,3.0,11.0,3,27.27272727272727,53.84615384615385
2016-520,French Open,Clay,128,G,20160523,123,201619,15,,Madison Keys,R,178.0,USA,21.26214921,17.0,2482.0,202499,,,Donna Vekic,R,179.0,CRO,19.90143737,96.0,706.0,6-3 6-2,3,R128,64.0,4.0,1.0,46.0,28.0,24.0,8.0,9.0,3.0,4.0,0.0,9.0,67.0,35.0,23.0,8.0,8.0,7.0,12.0,2,58.333333333333336,75.0
2016-1005,Rabat,Clay,32,I,20160425,277,201709,8,,Yulia Putintseva,R,163.0,KAZ,21.29774127,55.0,1073.0,201590,,,Alison Riske,R,175.0,USA,25.81245722,90.0,747.0,6-3 7-6(1),3,R32,110.0,0.0,3.0,69.0,47.0,29.0,14.0,11.0,3.0,6.0,0.0,7.0,65.0,40.0,25.0,10.0,10.0,3.0,7.0,2,42.857142857142854,50.0
2016-520,French Open,Clay,128,G,20160523,220,200033,1,,Serena Williams,R,175.0,USA,34.65571526,1.0,9030.0,201709,,,Yulia Putintseva,R,163.0,KAZ,21.374401100000004,60.0,1025.0,5-7 6-4 6-1,3,QF,128.0,4.0,4.0,96.0,60.0,41.0,17.0,15.0,4.0,8.0,0.0,2.0,83.0,52.0,33.0,13.0,14.0,8.0,14.0,3,57.14285714285714,50.0
2016-0804,Charleston,Clay,64,I,20160404,277,201506,5,,Sara Errani,R,164.0,ITA,28.93360712,20.0,2420.0,201468,,,Yaroslava Shvedova,R,180.0,KAZ,28.56125941,70.0,914.0,6-0 6-3,3,R32,68.0,0.0,0.0,47.0,40.0,20.0,5.0,7.0,4.0,7.0,0.0,2.0,50.0,30.0,11.0,4.0,8.0,6.0,14.0,2,42.857142857142854,57.14285714285714
2016-0804,Charleston,Clay,64,I,20160404,279,201611,12,,Daria Gavrilova,R,166.0,AUS,22.08350445,37.0,1269.0,201533,,,Shuai Zhang,R,177.0,CHN,27.20054757,64.0,993.0,6-4 6-0,3,R32,73.0,1.0,1.0,46.0,32.0,20.0,8.0,8.0,0.0,2.0,0.0,2.0,61.0,38.0,16.0,10.0,8.0,4.0,10.0,2,40.0,0.0
2016-M052,Rio de Janeiro,Clay,32,I,20160215,284,201523,,,Marina Erakovic,R,174.0,NZL,27.94524298,179.0,284.0,201640,,,Maria Teresa Torro Flor,R,173.0,ESP,23.78918549,127.0,435.0,7-6(8) 6-7(5) 6-2,3,R32,181.0,1.0,7.0,115.0,66.0,44.0,23.0,16.0,3.0,7.0,4.0,10.0,129.0,82.0,46.0,21.0,16.0,11.0,17.0,3,64.70588235294117,42.857142857142854
2016-0804,Charleston,Clay,64,I,20160404,250,201325,10,,Samantha Stosur,R,172.0,AUS,32.01368925,26.0,1845.0,202434,,Q,Aleksandra Krunic,R,163.0,SRB,23.05544148,124.0,487.0,6-4 6-4,3,R64,99.0,2.0,11.0,86.0,60.0,38.0,8.0,10.0,16.0,20.0,1.0,4.0,64.0,41.0,23.0,8.0,10.0,5.0,11.0,2,45.45454545454545,80.0
2016-520,French Open,Clay,128,G,20160523,145,201518,,,Yanina Wickmayer,R,182.0,BEL,26.59000684,54.0,1095.0,201567,,,Alexandra Dulgheru,R,172.0,ROU,26.98151951,127.0,482.0,6-1 6-3,3,R128,70.0,2.0,2.0,60.0,42.0,27.0,8.0,8.0,4.0,6.0,0.0,0.0,48.0,34.0,12.0,5.0,8.0,6.0,12.0,2,50.0,66.66666666666666
2016-520,French Open,Clay,128,G,20160523,119,214082,29,,Darya Kasatkina,R,170.0,RUS,19.04449008,32.0,1538.0,204431,,,Anna Lena Friedsam,R,174.0,GER,22.30527036,48.0,1160.0,6-1 4-6 6-3,3,R128,112.0,2.0,4.0,77.0,43.0,27.0,19.0,13.0,3.0,7.0,6.0,1.0,91.0,51.0,29.0,17.0,13.0,7.0,14.0,3,50.0,42.857142857142854
2016-M052,Rio de Janeiro,Clay,32,I,20160215,272,202705,,,Veronica Cepede Royg,R,163.0,PAR,24.06844627,128.0,435.0,201588,,,Anna Tatishvili,R,171.0,GEO,26.03148528,116.0,541.0,6-7(4) 6-1 6-3,3,R32,136.0,7.0,3.0,96.0,63.0,42.0,16.0,14.0,8.0,12.0,0.0,9.0,101.0,52.0,28.0,21.0,14.0,7.0,15.0,3,46.666666666666664,66.66666666666666
2016-D047,Fed Cup G2 PO: EGY vs FIN,Clay,4,D,20160416,2,211529,,,Sandra Samir,R,,EGY,18.43394935,423.0,81.0,211288,,,Mia Nicole Eklund,L,,FIN,21.44832307,879.0,14.0,6-0 6-4,3,RR,,,,,,,,,,,,,,,,,,,,2,,
2016-1090,Bol,Clay,32,I,20160530,288,202659,,WC,Tereza Mrdeza,R,,CRO,25.54140999,297.0,142.0,204434,,,Ysaline Bonaventure,L,178.0,BEL,21.7522245,155.0,366.0,6-3 6-3,3,R16,81.0,0.0,5.0,55.0,42.0,28.0,4.0,9.0,2.0,4.0,1.0,2.0,62.0,40.0,23.0,6.0,9.0,3.0,8.0,2,37.5,50.0
2016-W-FC-2016-WG-PO-RUS-BLR-01,Fed Cup WG R1: RUS vs BLR,Clay,4,D,20160416,2,201458,,,Victoria Azarenka,R,180.0,BLR,26.69678303,5.0,4530.0,202506,,,Margarita Gasparyan,R,183.0,RUS,21.60985626,47.0,1168.0,6-2 6-3,3,RR,74.0,2.0,3.0,50.0,39.0,29.0,4.0,9.0,2.0,4.0,2.0,0.0,57.0,37.0,20.0,7.0,8.0,6.0,11.0,2,54.54545454545454,50.0
2016-520,French Open,Clay,128,G,20160523,104,202494,18,,Elina Svitolina,R,174.0,UKR,21.69472964,20.0,2416.0,201514,,,Sorana Cirstea,R,176.0,ROU,26.12731006,97.0,693.0,6-1 6-3,3,R128,65.0,2.0,4.0,52.0,31.0,28.0,5.0,8.0,1.0,2.0,1.0,2.0,48.0,28.0,16.0,6.0,8.0,4.0,9.0,2,44.44444444444444,50.0
2016-M052,Rio de Janeiro,Clay,32,I,20160215,279,201531,,Q,Mariana Duque Marino,R,169.0,COL,26.51060917,81.0,789.0,201426,,,Pauline Parmentier,R,175.0,FRA,30.03969884,117.0,527.0,7-5 6-7(5) 6-3,3,R32,147.0,1.0,2.0,100.0,69.0,44.0,19.0,17.0,4.0,8.0,1.0,7.0,108.0,60.0,38.0,23.0,16.0,8.0,14.0,3,57.14285714285714,50.0
2016-1027,Istanbul,Clay,32,I,20160418,283,201450,,,Tsvetana Pironkova,R,180.0,BUL,28.59685147,97.0,707.0,205925,,,Aliaksandra Sasnovich,R,174.0,BLR,22.0752909,99.0,697.0,6-2 6-2,3,R32,75.0,2.0,2.0,46.0,32.0,24.0,7.0,8.0,5.0,6.0,0.0,5.0,65.0,33.0,16.0,14.0,8.0,8.0,13.0,2,61.53846153846154,83.33333333333334
2016-520,French Open,Clay,128,G,20160523,122,201531,,,Mariana Duque Marino,R,169.0,COL,26.77891855,75.0,863.0,201611,,,Daria Gavrilova,R,166.0,AUS,22.21765914,46.0,1180.0,5-7 6-4 6-4,3,R128,138.0,3.0,5.0,96.0,69.0,43.0,11.0,16.0,5.0,11.0,1.0,1.0,113.0,82.0,47.0,12.0,16.0,7.0,14.0,3,50.0,45.45454545454545
2016-1082,Prague,Clay,32,I,20160425,291,201325,4,,Samantha Stosur,R,172.0,AUS,32.07118412,25.0,1870.0,214954,,WC,Marketa Vondrousova,L,173.0,CZE,16.82683094,339.0,112.0,6-3 6-4,3,R16,83.0,3.0,3.0,62.0,32.0,26.0,20.0,10.0,6.0,6.0,4.0,6.0,67.0,38.0,26.0,13.0,9.0,7.0,9.0,2,77.77777777777779,100.0
2016-1090,Bol,Clay,32,I,20160530,287,201523,,,Marina Erakovic,R,174.0,NZL,28.23271732,134.0,451.0,203500,,,Sachia Vickery,R,162.0,USA,21.05407255,165.0,343.0,6-4 6-4,3,R16,96.0,2.0,3.0,79.0,57.0,37.0,14.0,10.0,7.0,8.0,3.0,3.0,67.0,37.0,22.0,16.0,10.0,1.0,4.0,2,25.0,87.5
2016-520,French Open,Clay,128,G,20160523,178,201426,,,Pauline Parmentier,R,175.0,FRA,30.30800821,88.0,757.0,201604,,,Irina Falconi,R,163.0,USA,26.05338809,63.0,1005.0,6-3 6-1,3,R64,58.0,1.0,1.0,42.0,24.0,20.0,13.0,8.0,1.0,1.0,0.0,1.0,53.0,38.0,21.0,6.0,8.0,2.0,6.0,2,33.33333333333333,100.0
2016-M021,Madrid,Clay,64,P,20160502,287,201325,,,Samantha Stosur,R,172.0,AUS,32.09034908,23.0,1995.0,201521,8,,Carla Suarez Navarro,R,162.0,ESP,27.6605065,11.0,3160.0,4-6 6-2 6-3,3,R16,117.0,3.0,2.0,101.0,75.0,48.0,11.0,14.0,7.0,11.0,1.0,0.0,67.0,56.0,31.0,7.0,13.0,5.0,11.0,3,45.45454545454545,63.63636363636363
