surface,winner_hand,winner_ht,winner_age,winner_rank,loser_name,loser_hand,loser_ht,loser_age,loser_rank,score,num_sets
Hard,R,170.0,22.792607800000006,30.0,Julia Goerges,R,180.0,27.17043121,50.0,7-5 6-2,2
Hard,R,180.0,27.17043121,50.0,Tamira Paszek,R,165.0,25.07871321,172.0,6-4 6-2,2
Hard,R,170.0,22.792607800000006,30.0,Caroline Wozniacki,R,177.0,25.48391513,17.0,6-2 7-6(3),2
Hard,R,180.0,27.17043121,50.0,Nao Hibino,R,163.0,21.10061602,66.0,6-7(3) 6-2 6-4,3
Hard,R,165.0,25.07871321,172.0,Kirsten Flipkens,R,165.0,29.98220397,85.0,6-4 6-7(3) 6-3,3
Hard,R,177.0,25.48391513,17.0,Alexandra Dulgheru,R,172.0,26.598220399999995,69.0,6-1 6-0,2
Hard,R,170.0,22.792607800000006,30.0,Naomi Broady,R,189.0,25.84804928,122.0,7-6(6) 6-3,2
Hard,R,163.0,21.10061602,66.0,Darya Kasatkina,R,170.0,18.66119097,75.0,7-5 2-6 7-5,3
Hard,R,180.0,27.17043121,50.0,Barbora Zahlavova Strycova,R,164.0,29.77138946,42.0,6-4 7-6(7),2
Hard,R,165.0,25.07871321,172.0,Svetlana Kuznetsova,R,174.0,30.52156057,25.0,6-2 6-3,2
Hard,R,165.0,29.98220397,85.0,Irina Falconi,R,163.0,25.67008898,76.0,6-1 4-6 6-2,3
Hard,R,172.0,26.598220399999995,69.0,Marina Erakovic,R,174.0,27.83025325,135.0,7-6(4) 6-3,2
Hard,R,177.0,25.48391513,17.0,Christina Mchale,R,170.0,23.6495551,63.0,6-0 6-2,2
Hard,R,170.0,22.792607800000006,30.0,Carina Witthoeft,R,176.0,20.88158795,64.0,3-6 6-1 6-3,3
Hard,R,189.0,25.84804928,122.0,Jelena Ostapenko,R,177.0,18.57357974,84.0,4-6 7-6(4) 7-5,3
Hard,R,170.0,18.66119097,75.0,Venus Williams,R,185.0,35.54825462,7.0,6-7(4) 6-3 6-3,3
Hard,R,163.0,21.10061602,66.0,Mariana Duque Marino,R,169.0,26.39561944,78.0,6-2 2-6 7-5,3
Hard,R,180.0,27.17043121,50.0,Lucie Hradecka,R,177.0,30.62286105,53.0,6-0 6-3,2
Hard,R,164.0,29.77138946,42.0,Kiki Bertens,R,182.0,24.06844627,104.0,6-2 6-4,2
Hard,R,174.0,30.52156057,25.0,Mona Barthel,R,185.0,25.48391513,45.0,6-2 1-1 RET,2
Hard,R,165.0,25.07871321,172.0,Francesca Schiavone,R,166.0,35.53182752,114.0,7-6(3) 4-6 6-3,3
Hard,R,165.0,29.98220397,85.0,Bethanie Mattek Sands,R,168.0,30.78439425,60.0,3-6 6-4 6-3,3
Hard,R,163.0,25.67008898,76.0,Coco Vandeweghe,R,185.0,24.07939767,37.0,5-7 6-4 6-3,3
Hard,R,172.0,26.598220399999995,69.0,Alison Van Uytvanck,R,173.0,21.77686516,44.0,1-6 6-2 6-4,3
Hard,R,174.0,27.83025325,135.0,Yulia Putintseva,R,163.0,20.99110198,77.0,7-6(2) 7-6(3),2
Hard,R,170.0,23.6495551,63.0,Misaki Doi,L,159.0,24.6844627,54.0,6-2 6-4,2
Hard,R,177.0,25.48391513,17.0,Danka Kovinic,R,169.0,21.12799452,57.0,6-4 6-4,2
Hard,R,170.0,22.792607800000006,30.0,Polona Hercog,R,182.0,24.95550992,73.0,6-3 6-3,2
Hard,R,176.0,20.88158795,64.0,Tatjana Maria,R,172.0,28.40793977,74.0,6-2 7-6(3),2
Hard,R,177.0,18.57357974,84.0,Johanna Larsson,R,174.0,27.38124572,56.0,6-1 7-5,2
Hard,R,189.0,25.84804928,122.0,Ana Ivanovic,R,183.0,28.1615332,16.0,7-5 6-4,2
Hard,R,180.0,26.42847365,22.0,Angelique Kerber,L,173.0,27.96167009,10.0,6-3 6-1,2
Hard,R,180.0,26.42847365,22.0,Samantha Crawford,R,188.0,20.87611225,142.0,6-0 6-3,2
Hard,L,173.0,27.96167009,10.0,Carla Suarez Navarro,R,162.0,27.33470226,13.0,6-2 6-3,2
Hard,R,180.0,26.42847365,22.0,Roberta Vinci,R,163.0,32.87611225,15.0,6-1 6-2,2
Hard,R,188.0,20.87611225,142.0,Andrea Petkovic,R,180.0,28.32032854,24.0,6-3 6-0,2
Hard,L,173.0,27.96167009,10.0,Anastasia Pavlyuchenkova,R,177.0,24.5065024,28.0,6-4 6-4,2
Hard,R,162.0,27.33470226,13.0,Varvara Lepchenko,L,180.0,29.62354552,47.0,4-6 6-4 7-5,3
Hard,R,180.0,26.42847365,22.0,Ysaline Bonaventure,L,178.0,21.34976044,170.0,6-3 6-2,2
Hard,R,163.0,32.87611225,15.0,Dominika Cibulkova,R,161.0,26.66392882,38.0,6-1 6-1,2
Hard,R,180.0,28.32032854,24.0,Ekaterina Makarova,L,178.0,27.57563313,23.0,7-5 6-4,2
Hard,R,188.0,20.87611225,142.0,Belinda Bencic,R,175.0,18.81998631,14.0,7-5 7-5,2
Hard,R,177.0,24.5065024,28.0,Alize Cornet,R,173.0,25.94934976,43.0,6-2 1-6 6-4,3
Hard,L,173.0,27.96167009,10.0,Madison Brengle,R,168.0,25.75496235,40.0,6-3 6-0,2
Hard,R,162.0,27.33470226,13.0,Samantha Stosur,R,172.0,31.76454483,27.0,6-1 6-7(3) 6-4,3
Hard,L,180.0,29.62354552,47.0,Garbine Muguruza,R,182.0,22.23956194,3.0,7-6(9) 1-0 RET,2
Hard,R,180.0,26.42847365,22.0,Elena Vesnina,R,176.0,29.42642026,115.0,6-2 6-0,2
Hard,R,161.0,26.66392882,38.0,Yanina Wickmayer,R,182.0,26.20670773,41.0,3-6 6-4 6-4,3
Hard,R,163.0,32.87611225,15.0,Jelena Jankovic,R,177.0,30.84736482,21.0,3-6 6-2 6-4,3
Hard,L,178.0,27.57563313,23.0,Margarita Gasparyan,R,183.0,21.34154689,61.0,6-4 2-6 6-3,3
Hard,R,180.0,28.32032854,24.0,Teliana Pereira,R,167.0,27.45790554,46.0,6-1 6-2,2
Hard,R,188.0,20.87611225,142.0,Priscilla Hon,R,171.0,17.65366188,336.0,6-4 6-4,2
Hard,R,175.0,18.81998631,14.0,Sara Errani,R,164.0,28.6844627,20.0,6-1 6-2,2
Hard,R,177.0,24.5065024,28.0,Timea Bacsinszky,R,170.0,26.57357974,12.0,6-2 6-1,2
Hard,R,173.0,25.94934976,43.0,Kristina Mladenovic,R,184.0,22.64202601,29.0,6-3 6-4,2
Hard,R,168.0,25.75496235,40.0,Kateryna Bondarenko,R,175.0,29.407255300000006,89.0,6-4 4-6 6-4,3
Hard,L,173.0,27.96167009,10.0,Camila Giorgi,R,168.0,24.01368925,35.0,5-7 6-3 6-0,3
Hard,R,162.0,27.33470226,13.0,Ajla Tomljanovic,R,180.0,22.66119097,65.0,6-1 6-2,2
Hard,R,172.0,31.76454483,27.0,Jana Cepelova,R,168.0,22.60095825,147.0,6-4 3-6 6-4,3
Hard,L,180.0,29.62354552,47.0,Anna Karolina Schmiedlova,R,176.0,21.30869268,26.0,6-2 6-1,2
Hard,R,170.0,26.83093771,5.0,Alison Riske,R,175.0,25.50581793,97.0,6-3 6-2,2
Hard,R,170.0,26.83093771,5.0,Anna Lena Friedsam,R,174.0,21.92197125,95.0,6-2 6-4,2
Hard,R,175.0,25.50581793,97.0,Timea Babos,R,179.0,22.65297741,70.0,6-2 6-4,2
Hard,R,170.0,26.83093771,5.0,Qiang Wang,R,172.0,23.97262149,110.0,6-3 6-2,2
Hard,R,174.0,21.92197125,95.0,Katerina Siniakova,R,174.0,19.65229295,102.0,6-4 2-6 6-1,3
Hard,R,179.0,22.65297741,70.0,Eugenie Bouchard,R,178.0,21.85626283,49.0,6-4 6-4,2
Hard,R,175.0,25.50581793,97.0,Anett Kontaveit,R,174.0,20.03011636,91.0,6-1 3-6 6-3,3
