tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-580,Australian Open,Hard,128,G,20160118,121,204431,,,Anna Lena Friedsam,R,174.0,GER,21.96030116,82.0,770.0,201452,,,Lourdes Dominguez Lino,R,163.0,ESP,34.80082136,100.0,643.0,7-6 2-6 6-1,3,R128,133.0,5.0,6.0,96.0,51.0,34.0,22.0,14.0,5.0,8.0,2.0,4.0,106.0,61.0,37.0,22.0,14.0,8.0,12.0,3,66.66666666666666,62.5
2016-M052,Rio de Janeiro,Clay,32,I,20160215,270,201596,2,,Johanna Larsson,R,174.0,SWE,27.49623546,48.0,1043.0,201452,,,Lourdes Dominguez Lino,R,163.0,ESP,34.87748118,104.0,640.0,7-5 6-4,3,R32,108.0,2.0,3.0,67.0,47.0,34.0,9.0,11.0,1.0,3.0,1.0,2.0,74.0,41.0,28.0,14.0,11.0,9.0,13.0,2,69.23076923076923,33.33333333333333
2016-M004,Acapulco,Hard,32,I,20160222,284,201495,,,Dominika Cibulkova,R,161.0,SVK,26.7980835,66.0,881.0,201452,,,Lourdes Dominguez Lino,R,163.0,ESP,34.89664613,105.0,623.0,6-0 6-0,3,R32,52.0,0.0,1.0,33.0,23.0,19.0,6.0,6.0,0.0,0.0,0.0,4.0,33.0,13.0,3.0,6.0,6.0,2.0,8.0,2,25.0,
2016-M007,Miami,Hard,128,P,20160321,227,201447,,,Vania King,R,165.0,USA,27.04996578,183.0,286.0,201452,,Q,Lourdes Dominguez Lino,R,163.0,ESP,34.97330595,114.0,585.0,6-4 6-4,3,R128,93.0,0.0,1.0,67.0,46.0,31.0,11.0,10.0,3.0,5.0,0.0,1.0,58.0,32.0,18.0,13.0,10.0,5.0,9.0,2,55.55555555555556,60.0
2016-0804,Charleston,Clay,64,I,20160404,286,201455,,Q,Elena Vesnina,R,176.0,RUS,29.67556468,85.0,776.0,201452,,,Lourdes Dominguez Lino,R,163.0,ESP,35.01163587,112.0,595.0,6-1 6-3,3,R16,79.0,0.0,4.0,59.0,34.0,25.0,11.0,8.0,4.0,6.0,2.0,3.0,52.0,37.0,16.0,5.0,8.0,7.0,13.0,2,53.84615384615385,66.66666666666666
2016-0804,Charleston,Clay,64,I,20160404,271,201452,,,Lourdes Dominguez Lino,R,163.0,ESP,35.01163587,112.0,595.0,202446,,,Eugenie Bouchard,R,178.0,CAN,22.10540726,46.0,1170.0,6-4 1-6 1-0 RET,3,R32,85.0,0.0,2.0,53.0,33.0,19.0,9.0,9.0,1.0,5.0,1.0,1.0,61.0,39.0,24.0,11.0,9.0,3.0,6.0,3,50.0,20.0
2016-0804,Charleston,Clay,64,I,20160404,240,201452,,,Lourdes Dominguez Lino,R,163.0,ESP,35.01163587,112.0,595.0,201539,,,Christina Mchale,R,170.0,USA,23.89869952,57.0,1020.0,2-6 6-4 6-1,3,R64,125.0,1.0,3.0,90.0,61.0,36.0,12.0,12.0,11.0,15.0,1.0,0.0,79.0,44.0,27.0,14.0,13.0,2.0,8.0,3,25.0,73.33333333333333
2016-0894,Bogota,Clay,32,I,20160411,289,203500,,,Sachia Vickery,R,162.0,USA,20.91991786,175.0,303.0,201452,7,,Lourdes Dominguez Lino,R,163.0,ESP,35.03080082,106.0,632.0,6-0 2-6 6-3,3,R16,106.0,3.0,3.0,103.0,59.0,37.0,15.0,12.0,7.0,12.0,2.0,3.0,72.0,49.0,27.0,9.0,11.0,5.0,12.0,3,41.66666666666667,58.333333333333336
2016-0894,Bogota,Clay,32,I,20160411,277,201452,7,,Lourdes Dominguez Lino,R,163.0,ESP,35.03080082,106.0,632.0,206255,,,Patricia Maria Tig,R,180.0,ROU,21.70841889,133.0,433.0,5-7 6-4 6-4,3,R32,136.0,0.0,4.0,94.0,57.0,42.0,15.0,16.0,4.0,8.0,6.0,11.0,113.0,61.0,42.0,24.0,16.0,6.0,11.0,3,54.54545454545454,50.0
2016-M021,Madrid,Clay,64,P,20160502,249,201662,13,,Karolina Pliskova,R,184.0,CZE,24.11498973,20.0,2420.0,201452,,WC,Lourdes Dominguez Lino,R,163.0,ESP,35.08829569,111.0,602.0,6-2 6-1,3,R64,43.0,2.0,1.0,35.0,23.0,20.0,8.0,7.0,0.0,0.0,0.0,4.0,46.0,29.0,14.0,6.0,8.0,3.0,8.0,2,37.5,
2016-520,French Open,Clay,128,G,20160523,161,201555,,,Polona Hercog,R,182.0,SLO,25.33880903,94.0,730.0,201452,,,Lourdes Dominguez Lino,R,163.0,ESP,35.14579055,112.0,594.0,6-4 7-6(4),3,R128,102.0,0.0,3.0,77.0,51.0,35.0,10.0,11.0,8.0,12.0,0.0,3.0,76.0,55.0,29.0,11.0,11.0,7.0,12.0,2,58.333333333333336,66.66666666666666
