tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-1080,Nottingham,Grass,32,I,20160606,270,202427,2,,Johanna Konta,R,180.0,GBR,25.0568104,18.0,2250.0,202497,,,Victoria Duval,R,,USA,20.5174538,580.0,40.0,6-3 6-0,3,R32,68.0,2.0,4.0,43.0,25.0,19.0,9.0,7.0,1.0,2.0,0.0,5.0,56.0,33.0,16.0,7.0,8.0,7.0,13.0,2,53.84615384615385,50.0
2016-540,Wimbledon,Grass,128,G,20160627,165,202470,,,Annika Beck,R,170.0,GER,22.36002738,43.0,1293.0,205925,,,Aliaksandra Sasnovich,R,174.0,BLR,22.26694045,98.0,673.0,6-2 6-1,3,R64,54.0,1.0,1.0,37.0,25.0,17.0,9.0,8.0,0.0,1.0,3.0,6.0,51.0,26.0,12.0,7.0,7.0,3.0,9.0,2,33.33333333333333,0.0
2016-1080,Nottingham,Grass,32,I,20160606,282,201599,,LL,Andrea Hlavackova,R,174.0,CZE,29.82340862,192.0,276.0,201518,5,,Yanina Wickmayer,R,182.0,BEL,26.62833676,50.0,1215.0,7-5 7-6(7),3,R32,121.0,6.0,4.0,91.0,49.0,35.0,22.0,12.0,8.0,9.0,7.0,3.0,88.0,54.0,38.0,15.0,12.0,3.0,5.0,2,60.0,88.88888888888889
2016-540,Wimbledon,Grass,128,G,20160627,132,201594,5,,Simona Halep,R,168.0,ROU,24.75017112,5.0,4372.0,203533,,,Anna Karolina Schmiedlova,R,176.0,SVK,21.78781656,40.0,1340.0,6-4 6-1,3,R128,65.0,1.0,2.0,53.0,35.0,25.0,8.0,9.0,3.0,5.0,0.0,6.0,52.0,29.0,12.0,9.0,8.0,3.0,9.0,2,33.33333333333333,60.0
2016-M010,s-Hertogenbosch,Grass,32,I,20160606,287,201535,6,,Coco Vandeweghe,R,185.0,USA,24.50102669,43.0,1302.0,211702,,,Nao Hibino,R,163.0,JPN,21.52224504,69.0,949.0,6-2 6-3,3,R16,66.0,6.0,4.0,44.0,30.0,19.0,6.0,8.0,2.0,5.0,0.0,3.0,62.0,43.0,14.0,11.0,9.0,7.0,14.0,2,50.0,40.0
2016-540,Wimbledon,Grass,128,G,20160627,178,201455,,,Elena Vesnina,R,176.0,RUS,29.90554415,50.0,1197.0,201492,32,,Andrea Petkovic,R,180.0,GER,28.79945243,38.0,1440.0,7-5 6-3,3,R64,100.0,4.0,2.0,67.0,43.0,27.0,15.0,11.0,4.0,6.0,4.0,3.0,69.0,51.0,29.0,8.0,10.0,5.0,9.0,2,55.55555555555556,66.66666666666666
2016-M010,s-Hertogenbosch,Grass,32,I,20160606,290,210722,,Q,Elise Mertens,U,179.0,BEL,20.55304586,171.0,326.0,202434,,,Aleksandra Krunic,R,163.0,SRB,23.22792608,119.0,527.0,6-4 7-6(3),3,R16,100.0,2.0,5.0,84.0,48.0,29.0,17.0,11.0,11.0,15.0,1.0,1.0,74.0,45.0,27.0,11.0,11.0,2.0,7.0,2,28.57142857142857,73.33333333333333
2016-540,Wimbledon,Grass,128,G,20160627,137,201427,,,Alize Cornet,R,173.0,FRA,26.42847365,61.0,1035.0,201555,,,Polona Hercog,R,182.0,SLO,25.43463381,86.0,770.0,6-3 6-0,3,R128,77.0,2.0,4.0,56.0,30.0,24.0,14.0,8.0,3.0,3.0,0.0,5.0,62.0,34.0,20.0,10.0,7.0,11.0,15.0,2,73.33333333333333,100.0
2016-540,Wimbledon,Grass,128,G,20160627,151,214082,29,,Darya Kasatkina,R,170.0,RUS,19.14031485,33.0,1549.0,202497,,,Victoria Duval,R,,USA,20.57494867,572.0,42.0,6-0 7-5,3,R128,51.0,1.0,1.0,45.0,25.0,21.0,13.0,9.0,0.0,1.0,1.0,5.0,47.0,32.0,17.0,3.0,9.0,0.0,5.0,2,0.0,0.0
2016-540,Wimbledon,Grass,128,G,20160627,115,201311,6,,Roberta Vinci,R,163.0,ITA,33.35523614,7.0,3405.0,201590,,,Alison Riske,R,175.0,USA,25.98494182,80.0,857.0,6-2 5-7 6-3,3,R128,122.0,1.0,0.0,94.0,66.0,45.0,12.0,15.0,4.0,8.0,2.0,3.0,90.0,55.0,30.0,18.0,14.0,5.0,11.0,3,45.45454545454545,50.0
