tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-M006,Indian Wells,Hard,128,P,20160307,269,200033,1,,Serena Williams,R,175.0,USA,34.44490075,1.0,9245.0,201696,,Q,Laura Siegemund,R,168.0,GER,28.00821355,79.0,801.0,6-2 6-1,3,R64,63.0,4.0,1.0,51.0,28.0,21.0,15.0,8.0,3.0,3.0,2.0,6.0,41.0,27.0,15.0,4.0,7.0,3.0,7.0,2,42.857142857142854,100.0
2016-1063,Shenzhen,Hard,32,I,20160104,288,201693,,,Timea Babos,R,179.0,HUN,22.65297741,70.0,863.0,201512,4,,Monica Niculescu,R,168.0,ROU,28.27652293,39.0,1245.0,6-1 6-4,3,R16,100.0,3.0,1.0,87.0,63.0,41.0,8.0,9.0,8.0,10.0,0.0,2.0,50.0,36.0,19.0,3.0,8.0,2.0,7.0,2,28.57142857142857,80.0
2016-M014,Moscow,Hard,32,I,20161017,294,201611,,,Daria Gavrilova,R,166.0,AUS,22.6201232,37.0,1415.0,201499,7,,Anastasia Pavlyuchenkova,R,177.0,RUS,25.29226557,23.0,1825.0,7-5 4-6 6-3,3,QF,157.0,2.0,5.0,108.0,64.0,40.0,22.0,15.0,12.0,17.0,4.0,3.0,93.0,55.0,29.0,20.0,16.0,3.0,10.0,3,30.0,70.58823529411765
2016-1076,Tianjin,Hard,32,I,20161010,279,202418,,,Lara Arruabarrena,R,166.0,ESP,24.55852156,70.0,923.0,203578,,Q,Fangzhou Liu,U,,CHN,20.82956879,158.0,360.0,6-4 2-6 6-4,3,R32,89.0,6.0,7.0,80.0,44.0,35.0,18.0,14.0,2.0,4.0,14.0,3.0,76.0,41.0,33.0,21.0,14.0,3.0,5.0,3,60.0,50.0
2016-M015,Beijing,Hard,64,P,20161003,250,202427,11,,Johanna Konta,R,180.0,GBR,25.38261465,14.0,2835.0,201545,,,Anastasija Sevastova,U,169.0,LAT,26.47501711,30.0,1540.0,6-1 6-1,3,R64,56.0,0.0,2.0,39.0,19.0,17.0,13.0,7.0,1.0,1.0,2.0,3.0,52.0,22.0,12.0,10.0,7.0,2.0,7.0,2,28.57142857142857,100.0
2016-0703,Stanford,Hard,32,I,20160718,273,201595,5,,Misaki Doi,L,159.0,JPN,25.22108145,36.0,1460.0,201580,,,Xinyun Han,L,172.0,CHN,26.13552361,125.0,456.0,6-0 2-6 6-2,3,R32,100.0,3.0,2.0,73.0,50.0,31.0,12.0,11.0,5.0,8.0,2.0,3.0,74.0,42.0,23.0,13.0,11.0,2.0,8.0,3,25.0,62.5
2016-M024,Cincinnati,Hard,64,P,20160815,289,201474,5,,Agnieszka Radwanska,R,170.0,POL,27.44421629,5.0,5250.0,202427,10,,Johanna Konta,R,180.0,GBR,25.24845996,13.0,2940.0,6-7(1) 6-4 6-0,3,R16,138.0,4.0,2.0,93.0,57.0,41.0,18.0,14.0,5.0,7.0,9.0,1.0,84.0,47.0,31.0,17.0,14.0,4.0,10.0,3,40.0,71.42857142857143
2016-1064,Florianopolis,Hard,32,I,20160801,281,211533,4,,Jelena Ostapenko,R,177.0,LAT,19.14852841,41.0,1360.0,203297,,Q,Nadiya Kichenok,R,,UKR,24.03285421,419.0,79.0,6-4 6-4,3,R32,78.0,7.0,7.0,58.0,29.0,24.0,15.0,10.0,2.0,4.0,1.0,5.0,62.0,35.0,21.0,12.0,10.0,1.0,5.0,2,20.0,50.0
2016-560,Us Open,Hard,128,G,20160829,122,201478,,,Varvara Lepchenko,L,180.0,USA,30.275154,68.0,908.0,201397,,,Shuai Peng,R,173.0,CHN,30.63928816,259.0,181.0,4-6 7-6(9) 6-3,3,R128,161.0,4.0,3.0,99.0,57.0,39.0,22.0,16.0,3.0,8.0,1.0,4.0,111.0,67.0,45.0,18.0,15.0,8.0,13.0,3,61.53846153846154,37.5
2016-1074,Hong Kong,Hard,32,I,20161010,278,201614,6,,Caroline Garcia,R,177.0,FRA,22.98425736,25.0,1730.0,206124,,Q,Tereza Martincova,U,178.0,CZE,21.96303901,164.0,349.0,6-3 6-0,3,R32,50.0,0.0,3.0,37.0,22.0,17.0,10.0,7.0,0.0,1.0,1.0,1.0,49.0,31.0,13.0,6.0,8.0,4.0,10.0,2,40.0,0.0
