tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-1063,Shenzhen,Hard,32,I,20160104,270,202453,,,Saisai Zheng,R,170.0,CHN,21.91101985,72.0,840.0,201520,2,,Petra Kvitova,L,183.0,CZE,25.82614648,6.0,4220.0,6-2 0-0 RET,3,R32,41.0,0.0,2.0,20.0,11.0,10.0,6.0,4.0,0.0,0.0,1.0,1.0,33.0,22.0,12.0,3.0,4.0,4.0,6.0,2,66.66666666666666,
2016-580,Australian Open,Hard,128,G,20160118,131,201520,6,,Petra Kvitova,L,183.0,CZE,25.86447639,7.0,3642.0,202503,,,Luksika Kumkhum,R,167.0,THA,22.49418207,158.0,349.0,6-3 6-1,3,R128,70.0,5.0,2.0,40.0,24.0,19.0,10.0,8.0,0.0,1.0,0.0,8.0,55.0,24.0,13.0,12.0,8.0,4.0,9.0,2,44.44444444444444,0.0
2016-580,Australian Open,Hard,128,G,20160118,179,201611,,,Daria Gavrilova,R,166.0,AUS,21.87268994,39.0,1275.0,201520,6,,Petra Kvitova,L,183.0,CZE,25.86447639,7.0,3642.0,6-4 6-4,3,R64,89.0,3.0,5.0,65.0,40.0,29.0,9.0,10.0,1.0,4.0,1.0,7.0,60.0,39.0,20.0,9.0,10.0,1.0,6.0,2,16.666666666666664,25.0
2016-0718,Dubai,Hard,32,I,20160215,288,201483,,,Madison Brengle,R,168.0,USA,25.86995209,60.0,960.0,201520,4,,Petra Kvitova,L,183.0,CZE,25.94113621,8.0,3582.0,0-6 7-6(1) 6-3,3,R16,120.0,0.0,5.0,95.0,62.0,35.0,13.0,14.0,4.0,11.0,0.0,4.0,90.0,58.0,33.0,14.0,13.0,2.0,7.0,3,28.57142857142857,36.36363636363637
2016-1003,Doha,Hard,64,I,20160222,292,211533,,,Jelena Ostapenko,R,177.0,LAT,18.70773443,88.0,752.0,201520,5,,Petra Kvitova,L,183.0,CZE,25.96030116,8.0,3478.0,5-7 6-2 6-1,3,R16,116.0,4.0,6.0,89.0,54.0,35.0,17.0,13.0,4.0,8.0,2.0,4.0,88.0,63.0,34.0,8.0,14.0,6.0,14.0,3,42.857142857142854,50.0
2016-1003,Doha,Hard,64,I,20160222,282,201520,5,,Petra Kvitova,L,183.0,CZE,25.96030116,8.0,3478.0,201366,,,Barbora Zahlavova Strycova,R,164.0,CZE,29.90554415,38.0,1300.0,7-6(2) 6-4,3,R32,103.0,4.0,4.0,70.0,43.0,29.0,18.0,11.0,1.0,3.0,2.0,1.0,73.0,43.0,26.0,17.0,11.0,4.0,7.0,2,57.14285714285714,33.33333333333333
2016-M006,Indian Wells,Hard,128,P,20160307,296,201474,3,,Agnieszka Radwanska,R,170.0,POL,27.00342231,3.0,5450.0,201520,8,,Petra Kvitova,L,183.0,CZE,25.99863107,9.0,3483.0,6-2 7-6(3),3,QF,95.0,1.0,1.0,66.0,46.0,32.0,11.0,10.0,4.0,6.0,2.0,7.0,64.0,35.0,22.0,13.0,10.0,3.0,7.0,2,42.857142857142854,66.66666666666666
2016-M006,Indian Wells,Hard,128,P,20160307,290,201520,8,,Petra Kvitova,L,183.0,CZE,25.99863107,9.0,3483.0,202484,,Q,Nicole Gibbs,R,168.0,USA,23.01163587,95.0,714.0,4-6 6-3 6-4,3,R16,122.0,2.0,6.0,84.0,52.0,37.0,17.0,15.0,5.0,9.0,2.0,3.0,89.0,48.0,32.0,18.0,14.0,2.0,7.0,3,28.57142857142857,55.55555555555556
2016-M006,Indian Wells,Hard,128,P,20160307,278,201520,8,,Petra Kvitova,L,183.0,CZE,25.99863107,9.0,3483.0,201596,,,Johanna Larsson,R,174.0,SWE,27.55373032,66.0,963.0,6-3 4-6 7-5,3,R32,149.0,6.0,6.0,87.0,48.0,37.0,17.0,15.0,2.0,6.0,4.0,3.0,106.0,79.0,45.0,14.0,16.0,8.0,14.0,3,57.14285714285714,33.33333333333333
2016-M006,Indian Wells,Hard,128,P,20160307,254,201520,8,,Petra Kvitova,L,183.0,CZE,25.99863107,9.0,3483.0,203575,,,Danka Kovinic,R,169.0,MNE,21.30047912,51.0,1093.0,6-3 4-6 7-6(5),3,R64,146.0,7.0,8.0,113.0,71.0,50.0,16.0,16.0,7.0,12.0,8.0,1.0,100.0,53.0,39.0,20.0,15.0,9.0,14.0,3,64.28571428571429,58.333333333333336
