tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-1063,Shenzhen,Hard,32,I,20160104,270,202453,,,Saisai Zheng,R,170.0,CHN,21.91101985,72.0,840.0,201520,2,,Petra Kvitova,L,183.0,CZE,25.82614648,6.0,4220.0,6-2 0-0 RET,3,R32,41.0,0.0,2.0,20.0,11.0,10.0,6.0,4.0,0.0,0.0,1.0,1.0,33.0,22.0,12.0,3.0,4.0,4.0,6.0,2,66.66666666666666,
2016-580,Australian Open,Hard,128,G,20160118,179,201611,,,Daria Gavrilova,R,166.0,AUS,21.87268994,39.0,1275.0,201520,6,,Petra Kvitova,L,183.0,CZE,25.86447639,7.0,3642.0,6-4 6-4,3,R64,89.0,3.0,5.0,65.0,40.0,29.0,9.0,10.0,1.0,4.0,1.0,7.0,60.0,39.0,20.0,9.0,10.0,1.0,6.0,2,16.666666666666664,25.0
2016-0718,Dubai,Hard,32,I,20160215,288,201483,,,Madison Brengle,R,168.0,USA,25.86995209,60.0,960.0,201520,4,,Petra Kvitova,L,183.0,CZE,25.94113621,8.0,3582.0,0-6 7-6(1) 6-3,3,R16,120.0,0.0,5.0,95.0,62.0,35.0,13.0,14.0,4.0,11.0,0.0,4.0,90.0,58.0,33.0,14.0,13.0,2.0,7.0,3,28.57142857142857,36.36363636363637
2016-1003,Doha,Hard,64,I,20160222,292,211533,,,Jelena Ostapenko,R,177.0,LAT,18.70773443,88.0,752.0,201520,5,,Petra Kvitova,L,183.0,CZE,25.96030116,8.0,3478.0,5-7 6-2 6-1,3,R16,116.0,4.0,6.0,89.0,54.0,35.0,17.0,13.0,4.0,8.0,2.0,4.0,88.0,63.0,34.0,8.0,14.0,6.0,14.0,3,42.857142857142854,50.0
2016-M006,Indian Wells,Hard,128,P,20160307,296,201474,3,,Agnieszka Radwanska,R,170.0,POL,27.00342231,3.0,5450.0,201520,8,,Petra Kvitova,L,183.0,CZE,25.99863107,9.0,3483.0,6-2 7-6(3),3,QF,95.0,1.0,1.0,66.0,46.0,32.0,11.0,10.0,4.0,6.0,2.0,7.0,64.0,35.0,22.0,13.0,10.0,3.0,7.0,2,42.857142857142854,66.66666666666666
2016-M007,Miami,Hard,128,P,20160321,282,201505,30,,Ekaterina Makarova,L,178.0,RUS,27.78644764,31.0,1571.0,201520,8,,Petra Kvitova,L,183.0,CZE,26.03696099,7.0,3698.0,6-4 6-4,3,R32,90.0,2.0,1.0,64.0,40.0,28.0,15.0,10.0,6.0,7.0,4.0,5.0,62.0,37.0,23.0,14.0,10.0,3.0,6.0,2,50.0,85.71428571428571
2016-1051,Stuttgart,Clay,32,I,20160418,298,201493,2,,Angelique Kerber,L,173.0,GER,28.24914442,3.0,5740.0,201520,5,,Petra Kvitova,L,183.0,CZE,26.11362081,7.0,3763.0,6-4 4-6 6-2,3,SF,123.0,1.0,4.0,100.0,68.0,47.0,13.0,14.0,10.0,13.0,4.0,9.0,79.0,52.0,38.0,8.0,14.0,5.0,10.0,3,50.0,76.92307692307693
2016-M021,Madrid,Clay,64,P,20160502,290,201611,,,Daria Gavrilova,R,166.0,AUS,22.16016427,39.0,1295.0,201520,5,,Petra Kvitova,L,183.0,CZE,26.15195072,6.0,3947.0,6-3 6-4,3,R16,102.0,2.0,2.0,73.0,53.0,34.0,12.0,10.0,6.0,7.0,2.0,3.0,75.0,47.0,25.0,16.0,9.0,6.0,9.0,2,66.66666666666666,85.71428571428571
2016-M009,Rome,Clay,64,P,20160509,273,201619,,,Madison Keys,R,178.0,USA,21.2238193,24.0,2016.0,201520,5,,Petra Kvitova,L,183.0,CZE,26.17111567,9.0,3067.0,6-3 6-4,3,R32,78.0,8.0,0.0,53.0,45.0,33.0,4.0,10.0,0.0,1.0,1.0,4.0,68.0,41.0,23.0,15.0,9.0,5.0,8.0,2,62.5,0.0
2016-520,French Open,Clay,128,G,20160523,205,201603,,,Shelby Rogers,R,175.0,USA,23.60848734,108.0,611.0,201520,10,,Petra Kvitova,L,183.0,CZE,26.20944559,12.0,2878.0,6-0 6-7(3) 6-0,3,R32,103.0,6.0,1.0,83.0,50.0,35.0,17.0,12.0,4.0,5.0,0.0,6.0,75.0,50.0,28.0,10.0,12.0,4.0,11.0,3,36.36363636363637,80.0
2016-1052,Birmingham,Grass,32,I,20160613,288,211533,,,Jelena Ostapenko,R,177.0,LAT,19.01437372,38.0,1378.0,201520,5,,Petra Kvitova,L,183.0,CZE,26.26694045,11.0,2768.0,6-4 4-6 6-3,3,R16,130.0,8.0,6.0,103.0,59.0,38.0,21.0,14.0,9.0,12.0,2.0,2.0,85.0,55.0,34.0,14.0,15.0,3.0,8.0,3,37.5,75.0
2016-0710,Eastbourne,Grass,64,I,20160620,287,202427,11,,Johanna Konta,R,180.0,GBR,25.09514031,18.0,2245.0,201520,5,,Petra Kvitova,L,183.0,CZE,26.28610541,11.0,2822.0,5-7 6-4 6-0,3,R16,134.0,5.0,5.0,93.0,67.0,46.0,9.0,14.0,7.0,10.0,6.0,4.0,88.0,62.0,35.0,11.0,14.0,6.0,12.0,3,50.0,70.0
2016-540,Wimbledon,Grass,128,G,20160627,176,201505,,,Ekaterina Makarova,L,178.0,RUS,28.05475702,35.0,1481.0,201520,10,,Petra Kvitova,L,183.0,CZE,26.30527036,10.0,2876.0,7-5 7-6(5),3,R64,113.0,0.0,6.0,90.0,63.0,43.0,13.0,12.0,6.0,8.0,4.0,5.0,85.0,54.0,36.0,15.0,12.0,3.0,6.0,2,50.0,75.0
2016-0806,Montreal,Hard,64,I,20160725,289,201320,9,,Svetlana Kuznetsova,R,174.0,RUS,31.07734428,11.0,2900.0,201520,12,,Petra Kvitova,L,183.0,CZE,26.38193018,13.0,2816.0,7-6(2) 6-3,3,R16,104.0,1.0,6.0,86.0,49.0,31.0,16.0,11.0,7.0,11.0,3.0,6.0,59.0,28.0,21.0,10.0,10.0,4.0,9.0,2,44.44444444444444,63.63636363636363
2016-O16,Olympics,Hard,64,I,20160808,160,201620,,,Monica Puig,R,170.0,PUR,22.86379192,34.0,1560.0,201520,11,,Petra Kvitova,L,183.0,CZE,26.420260100000004,14.0,2920.0,6-4 1-6 6-3 ,3,SF,113.0,4.0,3.0,77.0,47.0,27.0,16.0,13.0,3.0,8.0,9.0,7.0,78.0,42.0,26.0,18.0,13.0,8.0,13.0,3,61.53846153846154,37.5
2016-0602,New Haven,Hard,32,I,20160822,299,201474,1,,Agnieszka Radwanska,R,170.0,POL,27.46338125,4.0,5340.0,201520,6,,Petra Kvitova,L,183.0,CZE,26.45859001,15.0,2865.0,6-1 6-1,3,SF,77.0,1.0,1.0,51.0,29.0,21.0,13.0,7.0,1.0,1.0,1.0,3.0,52.0,29.0,13.0,9.0,7.0,5.0,10.0,2,50.0,100.0
