tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-M001,Sydney,Hard,32,I,20160111,277,201493,4,,Angelique Kerber,L,173.0,GER,27.98083504,7.0,3710.0,202494,,,Elina Svitolina,R,174.0,UKR,21.33059548,20.0,2465.0,4-6 6-0 6-3,3,R32,117.0,1.0,5.0,80.0,53.0,33.0,11.0,12.0,4.0,9.0,2.0,6.0,86.0,43.0,21.0,16.0,13.0,9.0,18.0,3,50.0,44.44444444444444
2016-580,Australian Open,Hard,128,G,20160118,185,211768,,,Naomi Osaka,R,180.0,JPN,18.25598905,127.0,436.0,202494,18,,Elina Svitolina,R,174.0,UKR,21.34976044,21.0,2465.0,6-4 6-4,3,R64,100.0,2.0,1.0,82.0,43.0,29.0,18.0,10.0,9.0,11.0,0.0,0.0,57.0,31.0,17.0,16.0,10.0,0.0,4.0,2,0.0,81.81818181818183
2016-0718,Dubai,Hard,32,I,20160215,298,201506,,,Sara Errani,R,164.0,ITA,28.79945243,22.0,2405.0,202494,,,Elina Svitolina,R,174.0,UKR,21.42642026,21.0,2405.0,6-4 6-4,3,SF,111.0,0.0,2.0,69.0,59.0,33.0,7.0,10.0,3.0,6.0,2.0,4.0,75.0,45.0,25.0,13.0,10.0,9.0,14.0,2,64.28571428571429,50.0
2016-1003,Doha,Hard,64,I,20160222,266,202653,,,Denisa Allertova,R,180.0,CZE,22.96235455,62.0,942.0,202494,15,,Elina Svitolina,R,174.0,UKR,21.44558522,18.0,2530.0,7-5 6-4,3,R64,80.0,1.0,3.0,71.0,50.0,31.0,9.0,11.0,9.0,13.0,3.0,4.0,68.0,46.0,23.0,10.0,11.0,4.0,10.0,2,40.0,69.23076923076923
2016-M006,Indian Wells,Hard,128,P,20160307,276,201311,9,,Roberta Vinci,R,163.0,ITA,33.04859685,10.0,3455.0,202494,17,,Elina Svitolina,R,174.0,UKR,21.48391513,14.0,2750.0,6-1 6-3,3,R32,61.0,1.0,1.0,49.0,30.0,23.0,13.0,8.0,4.0,4.0,1.0,2.0,50.0,31.0,19.0,6.0,8.0,6.0,10.0,2,60.0,100.0
2016-M007,Miami,Hard,128,P,20160321,292,201505,30,,Ekaterina Makarova,L,178.0,RUS,27.78644764,31.0,1571.0,202494,12,,Elina Svitolina,R,174.0,UKR,21.52224504,16.0,2695.0,6-1 6-4,3,R16,67.0,0.0,2.0,51.0,34.0,22.0,10.0,9.0,2.0,4.0,1.0,0.0,44.0,30.0,15.0,4.0,8.0,3.0,8.0,2,37.5,50.0
2016-0894,Bogota,Clay,32,I,20160411,285,201668,,,Alexandra Panova,R,,RUS,27.11019849,155.0,360.0,202494,1,,Elina Svitolina,R,174.0,UKR,21.5797399,16.0,2750.0,7-5 1-6 7-6(6),3,R32,165.0,2.0,4.0,120.0,73.0,45.0,23.0,16.0,7.0,12.0,6.0,3.0,114.0,61.0,44.0,25.0,15.0,7.0,10.0,3,70.0,58.333333333333336
2016-M021,Madrid,Clay,64,P,20160502,279,201611,,,Daria Gavrilova,R,166.0,AUS,22.16016427,39.0,1295.0,202494,12,,Elina Svitolina,R,174.0,UKR,21.63723477,19.0,2475.0,6-2 7-6(4),3,R32,90.0,2.0,0.0,60.0,46.0,32.0,8.0,10.0,1.0,3.0,3.0,1.0,75.0,41.0,24.0,15.0,10.0,5.0,9.0,2,55.55555555555556,33.33333333333333
2016-M009,Rome,Clay,64,P,20160509,249,201620,,Q,Monica Puig,R,170.0,PUR,22.6146475,57.0,1040.0,202494,15,,Elina Svitolina,R,174.0,UKR,21.65639973,17.0,2475.0,6-1 4-6 6-1,3,R64,121.0,4.0,1.0,93.0,55.0,39.0,18.0,12.0,6.0,8.0,3.0,3.0,81.0,48.0,28.0,14.0,12.0,8.0,14.0,3,57.14285714285714,75.0
2016-520,French Open,Clay,128,G,20160523,212,200033,1,,Serena Williams,R,175.0,USA,34.65571526,1.0,9030.0,202494,18,,Elina Svitolina,R,174.0,UKR,21.69472964,20.0,2416.0,6-1 6-1,3,R16,62.0,8.0,1.0,57.0,29.0,21.0,14.0,7.0,7.0,8.0,0.0,2.0,42.0,26.0,10.0,3.0,7.0,2.0,8.0,2,25.0,87.5
2016-1052,Birmingham,Grass,32,I,20160613,273,201521,6,,Carla Suarez Navarro,R,162.0,ESP,27.77549624,15.0,2695.0,202494,,,Elina Svitolina,R,174.0,UKR,21.7522245,18.0,2226.0,7-5 4-6 7-5,3,R32,151.0,3.0,1.0,102.0,76.0,50.0,14.0,17.0,0.0,4.0,2.0,3.0,105.0,73.0,50.0,14.0,17.0,6.0,11.0,3,54.54545454545454,0.0
2016-540,Wimbledon,Grass,128,G,20160627,193,201468,,,Yaroslava Shvedova,R,180.0,KAZ,28.79123888,96.0,712.0,202494,17,,Elina Svitolina,R,174.0,UKR,21.79055441,20.0,2226.0,6-2 3-6 6-4,3,R64,105.0,5.0,0.0,88.0,57.0,38.0,18.0,14.0,7.0,9.0,3.0,2.0,98.0,71.0,48.0,10.0,13.0,5.0,9.0,3,55.55555555555556,77.77777777777779
2016-0806,Montreal,Hard,64,I,20160725,286,201493,2,,Angelique Kerber,L,173.0,GER,28.5174538,2.0,6500.0,202494,17,,Elina Svitolina,R,174.0,UKR,21.86721424,20.0,2226.0,1-6 7-6(2) 6-4,3,R16,135.0,4.0,5.0,107.0,64.0,34.0,16.0,14.0,12.0,21.0,2.0,0.0,99.0,50.0,25.0,26.0,15.0,6.0,14.0,3,42.857142857142854,57.14285714285714
2016-O16,Olympics,Hard,64,I,20160808,156,201520,11,,Petra Kvitova,L,183.0,CZE,26.420260100000004,14.0,2920.0,202494,15,,Elina Svitolina,R,174.0,UKR,21.90554415,20.0,2146.0,6-2 6-0 ,3,QF,48.0,1.0,2.0,34.0,23.0,20.0,8.0,7.0,0.0,0.0,0.0,2.0,34.0,21.0,8.0,5.0,7.0,2.0,7.0,2,28.57142857142857,
2016-M024,Cincinnati,Hard,64,P,20160815,275,201611,,Q,Daria Gavrilova,R,166.0,AUS,22.4476386,47.0,1090.0,202494,17,,Elina Svitolina,R,174.0,UKR,21.9247091,19.0,2146.0,6-2 6-2,3,R32,66.0,2.0,1.0,45.0,27.0,20.0,11.0,8.0,0.0,1.0,2.0,4.0,55.0,32.0,16.0,9.0,8.0,6.0,11.0,2,54.54545454545454,0.0
2016-0602,New Haven,Hard,32,I,20160822,300,201474,1,,Agnieszka Radwanska,R,170.0,POL,27.46338125,4.0,5340.0,202494,10,,Elina Svitolina,R,174.0,UKR,21.94387406,23.0,1797.0,6-1 7-6(3),3,F,96.0,1.0,5.0,65.0,40.0,28.0,11.0,10.0,4.0,7.0,0.0,2.0,58.0,35.0,15.0,10.0,9.0,4.0,9.0,2,44.44444444444444,57.14285714285714
