w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_pctbpSaved,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_pctbpSaved
1.0,0.0,36.0,28.0,15.0,100.0,6.0,2.0,35.0,26.0,11.0,50.0
7.0,1.0,26.0,22.0,12.0,0.0,0.0,0.0,27.0,19.0,5.0,33.33333333333333
5.0,1.0,60.0,40.0,8.0,85.71428571428571,1.0,3.0,43.0,26.0,12.0,57.14285714285714
7.0,3.0,45.0,41.0,21.0,,4.0,2.0,61.0,44.0,15.0,40.0
6.0,8.0,88.0,55.0,22.0,70.58823529411765,5.0,8.0,60.0,32.0,18.0,50.0
1.0,0.0,24.0,20.0,9.0,100.0,0.0,5.0,24.0,8.0,3.0,16.666666666666664
3.0,1.0,49.0,36.0,19.0,85.71428571428571,3.0,3.0,36.0,27.0,18.0,75.0
3.0,7.0,70.0,45.0,17.0,68.75,2.0,3.0,64.0,44.0,8.0,28.57142857142857
5.0,3.0,46.0,34.0,11.0,72.72727272727273,1.0,4.0,63.0,37.0,10.0,60.0
3.0,4.0,42.0,31.0,15.0,91.66666666666666,2.0,2.0,37.0,25.0,5.0,55.55555555555556
0.0,2.0,64.0,35.0,13.0,70.58823529411765,0.0,5.0,48.0,19.0,13.0,46.666666666666664
3.0,3.0,53.0,39.0,10.0,60.0,2.0,5.0,41.0,24.0,13.0,50.0
3.0,3.0,34.0,26.0,6.0,66.66666666666666,2.0,1.0,23.0,11.0,6.0,45.45454545454545
5.0,2.0,49.0,33.0,15.0,57.14285714285714,2.0,10.0,46.0,29.0,13.0,33.33333333333333
21.0,8.0,69.0,49.0,20.0,62.5,4.0,13.0,54.0,39.0,29.0,53.84615384615385
1.0,5.0,68.0,45.0,20.0,62.5,6.0,2.0,60.0,39.0,16.0,45.45454545454545
1.0,2.0,70.0,46.0,10.0,72.72727272727273,2.0,4.0,41.0,28.0,25.0,33.33333333333333
7.0,4.0,31.0,24.0,13.0,100.0,0.0,6.0,26.0,15.0,7.0,33.33333333333333
2.0,1.0,33.0,25.0,13.0,100.0,4.0,2.0,44.0,24.0,14.0,72.72727272727273
3.0,5.0,16.0,15.0,9.0,100.0,0.0,6.0,13.0,7.0,14.0,33.33333333333333
2.0,7.0,67.0,43.0,31.0,72.22222222222221,6.0,12.0,46.0,36.0,23.0,64.28571428571429
1.0,3.0,79.0,51.0,16.0,78.57142857142857,1.0,3.0,51.0,30.0,21.0,55.55555555555556
5.0,4.0,69.0,46.0,25.0,80.0,9.0,9.0,44.0,30.0,26.0,50.0
1.0,9.0,45.0,32.0,14.0,0.0,3.0,3.0,49.0,33.0,12.0,42.857142857142854
4.0,4.0,49.0,35.0,12.0,0.0,1.0,2.0,57.0,35.0,12.0,70.0
6.0,3.0,33.0,25.0,10.0,33.33333333333333,0.0,4.0,28.0,16.0,9.0,16.666666666666664
3.0,0.0,42.0,25.0,9.0,20.0,3.0,3.0,32.0,19.0,11.0,14.285714285714285
0.0,3.0,35.0,22.0,11.0,50.0,0.0,2.0,29.0,15.0,4.0,33.33333333333333
4.0,5.0,47.0,30.0,18.0,75.0,8.0,2.0,34.0,23.0,12.0,42.857142857142854
5.0,7.0,33.0,25.0,18.0,71.42857142857143,1.0,7.0,30.0,17.0,9.0,54.54545454545454
14.0,0.0,43.0,32.0,10.0,60.0,6.0,8.0,46.0,32.0,13.0,60.0
2.0,0.0,33.0,23.0,9.0,80.0,2.0,2.0,30.0,14.0,9.0,37.5
0.0,1.0,30.0,20.0,6.0,50.0,5.0,3.0,24.0,11.0,7.0,50.0
1.0,0.0,25.0,17.0,17.0,100.0,0.0,2.0,47.0,24.0,11.0,42.857142857142854
0.0,3.0,35.0,22.0,8.0,75.0,0.0,2.0,31.0,12.0,6.0,36.36363636363637
3.0,1.0,28.0,20.0,12.0,66.66666666666666,2.0,4.0,30.0,16.0,4.0,37.5
2.0,3.0,31.0,23.0,9.0,25.0,1.0,1.0,43.0,24.0,8.0,28.57142857142857
1.0,4.0,60.0,37.0,16.0,62.5,6.0,8.0,86.0,49.0,18.0,70.83333333333334
3.0,8.0,31.0,27.0,9.0,80.0,3.0,6.0,35.0,20.0,19.0,66.66666666666666
6.0,2.0,34.0,24.0,12.0,100.0,2.0,6.0,35.0,19.0,1.0,54.54545454545454
4.0,3.0,28.0,21.0,17.0,33.33333333333333,3.0,3.0,60.0,35.0,11.0,60.0
13.0,3.0,45.0,34.0,17.0,85.71428571428571,4.0,4.0,57.0,41.0,12.0,76.92307692307693
0.0,3.0,52.0,31.0,15.0,50.0,2.0,6.0,61.0,40.0,16.0,68.75
0.0,2.0,27.0,21.0,8.0,50.0,0.0,2.0,54.0,23.0,8.0,53.84615384615385
4.0,3.0,57.0,49.0,11.0,66.66666666666666,4.0,4.0,52.0,36.0,20.0,44.44444444444444
2.0,4.0,29.0,23.0,11.0,50.0,1.0,1.0,28.0,15.0,14.0,75.0
4.0,2.0,42.0,28.0,5.0,80.0,3.0,4.0,38.0,16.0,10.0,57.14285714285714
0.0,8.0,53.0,31.0,19.0,45.45454545454545,5.0,5.0,45.0,30.0,12.0,40.0
5.0,2.0,56.0,39.0,20.0,66.66666666666666,7.0,3.0,49.0,29.0,26.0,63.63636363636363
5.0,4.0,56.0,37.0,21.0,72.72727272727273,6.0,4.0,51.0,36.0,17.0,70.0
4.0,7.0,56.0,38.0,6.0,90.9090909090909,0.0,1.0,29.0,14.0,3.0,28.57142857142857
10.0,1.0,35.0,25.0,13.0,66.66666666666666,2.0,0.0,43.0,30.0,7.0,20.0
3.0,2.0,24.0,16.0,8.0,40.0,0.0,2.0,31.0,10.0,1.0,33.33333333333333
1.0,5.0,31.0,23.0,11.0,80.0,0.0,4.0,22.0,8.0,5.0,0.0
1.0,3.0,36.0,30.0,15.0,100.0,3.0,4.0,31.0,23.0,13.0,60.0
5.0,2.0,59.0,36.0,16.0,16.666666666666664,3.0,4.0,64.0,37.0,13.0,45.45454545454545
1.0,3.0,54.0,40.0,17.0,77.77777777777779,4.0,2.0,50.0,28.0,18.0,25.0
3.0,2.0,27.0,19.0,5.0,0.0,0.0,7.0,30.0,15.0,6.0,61.111111111111114
5.0,8.0,55.0,36.0,14.0,36.36363636363637,4.0,3.0,46.0,25.0,17.0,36.36363636363637
0.0,0.0,28.0,23.0,5.0,75.0,1.0,10.0,38.0,23.0,3.0,25.0
9.0,2.0,45.0,35.0,8.0,100.0,1.0,0.0,30.0,16.0,12.0,57.14285714285714
2.0,1.0,31.0,26.0,9.0,0.0,1.0,3.0,36.0,23.0,7.0,42.857142857142854
0.0,2.0,36.0,25.0,11.0,66.66666666666666,6.0,3.0,39.0,22.0,10.0,58.333333333333336
1.0,0.0,36.0,28.0,10.0,100.0,3.0,5.0,31.0,20.0,9.0,25.0
2.0,4.0,42.0,31.0,7.0,25.0,3.0,9.0,58.0,42.0,12.0,50.0
9.0,4.0,50.0,40.0,10.0,100.0,6.0,3.0,38.0,26.0,15.0,71.42857142857143
3.0,2.0,53.0,41.0,6.0,25.0,7.0,3.0,51.0,34.0,12.0,54.54545454545454
3.0,1.0,36.0,26.0,6.0,0.0,2.0,1.0,40.0,19.0,10.0,14.285714285714285
