tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-1049,Auckland,Hard,32,I,20160104,300,201585,5,,Sloane Stephens,R,170.0,USA,22.792607800000006,30.0,1715.0,201504,,,Julia Goerges,R,180.0,GER,27.17043121,50.0,1040.0,7-5 6-2,3,F,76.0,1.0,0.0,57.0,36.0,28.0,15.0,10.0,2.0,2.0,6.0,2.0,59.0,35.0,26.0,11.0,10.0,3.0,6.0,2,50.0,100.0
2016-1049,Auckland,Hard,32,I,20160104,298,201585,5,,Sloane Stephens,R,170.0,USA,22.792607800000006,30.0,1715.0,201496,3,,Caroline Wozniacki,R,177.0,DEN,25.48391513,17.0,2641.0,6-2 7-6(3),3,SF,100.0,5.0,1.0,75.0,60.0,40.0,8.0,10.0,6.0,7.0,1.0,3.0,68.0,43.0,26.0,12.0,10.0,4.0,7.0,2,57.14285714285714,85.71428571428571
2016-1049,Auckland,Hard,32,I,20160104,294,201585,5,,Sloane Stephens,R,170.0,USA,22.792607800000006,30.0,1715.0,201648,,Q,Naomi Broady,R,189.0,GBR,25.84804928,122.0,500.0,7-6(6) 6-3,3,QF,96.0,3.0,1.0,83.0,49.0,36.0,19.0,11.0,6.0,7.0,3.0,3.0,71.0,36.0,27.0,18.0,10.0,6.0,8.0,2,75.0,85.71428571428571
2016-1049,Auckland,Hard,32,I,20160104,287,201585,5,,Sloane Stephens,R,170.0,USA,22.792607800000006,30.0,1715.0,202489,,,Carina Witthoeft,R,176.0,GER,20.88158795,64.0,913.0,3-6 6-1 6-3,3,R16,98.0,5.0,2.0,78.0,49.0,33.0,15.0,12.0,4.0,7.0,2.0,10.0,83.0,46.0,29.0,13.0,13.0,3.0,9.0,3,33.33333333333333,57.14285714285714
2016-1049,Auckland,Hard,32,I,20160104,273,201585,5,,Sloane Stephens,R,170.0,USA,22.792607800000006,30.0,1715.0,201555,,,Polona Hercog,R,182.0,SLO,24.95550992,73.0,835.0,6-3 6-3,3,R32,71.0,0.0,3.0,55.0,35.0,22.0,11.0,9.0,3.0,6.0,0.0,2.0,49.0,29.0,15.0,4.0,9.0,3.0,9.0,2,33.33333333333333,50.0
2016-580,Australian Open,Hard,128,G,20160118,120,202492,,,Qiang Wang,R,172.0,CHN,24.0109514,102.0,621.0,201585,24,,Sloane Stephens,R,170.0,USA,22.83093771,26.0,1965.0,6-3 6-3,3,R128,83.0,0.0,5.0,70.0,42.0,26.0,14.0,9.0,12.0,14.0,2.0,0.0,69.0,46.0,25.0,8.0,9.0,6.0,11.0,2,54.54545454545454,85.71428571428571
2016-M004,Acapulco,Hard,32,I,20160222,300,201585,2,,Sloane Stephens,R,170.0,USA,22.92676249,24.0,1965.0,201495,,,Dominika Cibulkova,R,161.0,SVK,26.7980835,66.0,881.0,6-4 4-6 7-6(5),3,F,185.0,3.0,3.0,112.0,76.0,48.0,17.0,16.0,6.0,11.0,0.0,6.0,116.0,79.0,44.0,21.0,16.0,13.0,18.0,3,72.22222222222221,54.54545454545454
2016-M004,Acapulco,Hard,32,I,20160222,298,201585,2,,Sloane Stephens,R,170.0,USA,22.92676249,24.0,1965.0,201518,8,,Yanina Wickmayer,R,182.0,BEL,26.34086242,52.0,1026.0,6-2 6-0,3,SF,54.0,2.0,2.0,40.0,28.0,24.0,3.0,7.0,0.0,1.0,0.0,1.0,44.0,28.0,10.0,5.0,7.0,6.0,12.0,2,50.0,0.0
2016-M004,Acapulco,Hard,32,I,20160222,294,201585,2,,Sloane Stephens,R,170.0,USA,22.92676249,24.0,1965.0,211768,,WC,Naomi Osaka,R,180.0,JPN,18.35181383,114.0,581.0,6-3 7-5,3,QF,76.0,2.0,4.0,51.0,30.0,24.0,10.0,10.0,2.0,4.0,2.0,1.0,75.0,43.0,22.0,17.0,11.0,3.0,8.0,2,37.5,50.0
2016-M004,Acapulco,Hard,32,I,20160222,286,201585,2,,Sloane Stephens,R,170.0,USA,22.92676249,24.0,1965.0,201501,,,Olga Govortsova,R,182.0,BLR,27.49897331,89.0,736.0,6-4 6-1,3,R16,81.0,0.0,1.0,59.0,35.0,19.0,16.0,8.0,0.0,2.0,0.0,4.0,61.0,41.0,22.0,6.0,9.0,4.0,10.0,2,40.0,0.0
2016-M004,Acapulco,Hard,32,I,20160222,270,201585,2,,Sloane Stephens,R,170.0,USA,22.92676249,24.0,1965.0,211635,,Q,Louisa Chirico,R,175.0,USA,19.77002053,123.0,489.0,1-6 6-3 6-3,3,R32,120.0,3.0,3.0,93.0,58.0,37.0,13.0,12.0,7.0,12.0,3.0,11.0,103.0,56.0,33.0,18.0,13.0,7.0,13.0,3,53.84615384615385,58.333333333333336
2016-M006,Indian Wells,Hard,128,P,20160307,243,202446,,,Eugenie Bouchard,R,178.0,CAN,22.02874743,42.0,1225.0,201585,21,,Sloane Stephens,R,170.0,USA,22.9650924,22.0,2215.0,7-5 7-5,3,R64,101.0,0.0,6.0,68.0,36.0,23.0,16.0,12.0,1.0,5.0,0.0,2.0,78.0,50.0,28.0,12.0,12.0,5.0,11.0,2,45.45454545454545,20.0
2016-M007,Miami,Hard,128,P,20160321,256,201586,,WC,Heather Watson,R,170.0,GBR,23.8384668,69.0,956.0,201585,20,,Sloane Stephens,R,170.0,USA,23.00342231,22.0,2105.0,6-3 6-0,3,R64,62.0,2.0,1.0,46.0,26.0,21.0,11.0,8.0,0.0,1.0,2.0,2.0,39.0,18.0,8.0,5.0,7.0,1.0,6.0,2,16.666666666666664,0.0
2016-0804,Charleston,Clay,64,I,20160404,300,201585,7,,Sloane Stephens,R,170.0,USA,23.04175222,25.0,1900.0,201455,,Q,Elena Vesnina,R,176.0,RUS,29.67556468,85.0,776.0,7-6(4) 6-2,3,F,103.0,3.0,5.0,75.0,56.0,39.0,5.0,10.0,3.0,6.0,1.0,0.0,75.0,57.0,31.0,7.0,10.0,6.0,11.0,2,54.54545454545454,50.0
2016-0804,Charleston,Clay,64,I,20160404,299,201585,7,,Sloane Stephens,R,170.0,USA,23.04175222,25.0,1900.0,201493,1,,Angelique Kerber,L,173.0,GER,28.21081451,2.0,6025.0,6-1 3-0 RET,3,SF,40.0,3.0,0.0,27.0,17.0,14.0,6.0,5.0,0.0,0.0,0.0,1.0,36.0,28.0,11.0,3.0,5.0,6.0,10.0,2,60.0,
2016-0804,Charleston,Clay,64,I,20160404,296,201585,7,,Sloane Stephens,R,170.0,USA,23.04175222,25.0,1900.0,214082,14,,Darya Kasatkina,R,170.0,RUS,18.91033539,35.0,1367.0,6-1 5-7 7-5,3,QF,144.0,3.0,2.0,102.0,74.0,48.0,17.0,16.0,6.0,9.0,0.0,3.0,106.0,67.0,37.0,21.0,15.0,9.0,14.0,3,64.28571428571429,66.66666666666666
2016-0804,Charleston,Clay,64,I,20160404,290,201585,7,,Sloane Stephens,R,170.0,USA,23.04175222,25.0,1900.0,201611,12,,Daria Gavrilova,R,166.0,AUS,22.08350445,37.0,1269.0,6-4 6-3,3,R16,92.0,1.0,0.0,56.0,30.0,20.0,18.0,9.0,3.0,4.0,2.0,1.0,72.0,50.0,28.0,12.0,10.0,4.0,8.0,2,50.0,75.0
2016-0804,Charleston,Clay,64,I,20160404,278,201585,7,,Sloane Stephens,R,170.0,USA,23.04175222,25.0,1900.0,203575,,,Danka Kovinic,R,169.0,MNE,21.37713895,50.0,1103.0,6-4 6-3,3,R32,82.0,2.0,1.0,67.0,37.0,23.0,19.0,9.0,5.0,6.0,2.0,6.0,61.0,30.0,19.0,13.0,10.0,5.0,9.0,2,55.55555555555556,83.33333333333334
2016-M021,Madrid,Clay,64,P,20160502,271,206255,,Q,Patricia Maria Tig,R,180.0,ROU,21.76591376,134.0,438.0,201585,16,,Sloane Stephens,R,170.0,USA,23.11841205,21.0,2310.0,6-2 6-3,3,R32,76.0,1.0,2.0,52.0,28.0,22.0,16.0,8.0,4.0,4.0,2.0,2.0,55.0,39.0,21.0,8.0,9.0,5.0,9.0,2,55.55555555555556,100.0
2016-M021,Madrid,Clay,64,P,20160502,241,201585,16,,Sloane Stephens,R,170.0,USA,23.11841205,21.0,2310.0,202694,,,Teliana Pereira,R,167.0,BRA,27.78370979,89.0,752.0,3-6 6-3 6-2,3,R64,121.0,0.0,3.0,78.0,62.0,35.0,7.0,13.0,2.0,7.0,0.0,2.0,93.0,71.0,34.0,12.0,13.0,7.0,14.0,3,50.0,28.57142857142857
2016-0406,Strasbourg,Hard,32,I,20160516,286,201426,,WC,Pauline Parmentier,R,175.0,FRA,30.28884326,95.0,712.0,201585,2,,Sloane Stephens,R,170.0,USA,23.15674196,21.0,2310.0,6-3 1-6 6-4,3,R16,107.0,4.0,6.0,81.0,45.0,30.0,15.0,13.0,5.0,10.0,0.0,1.0,77.0,55.0,30.0,13.0,13.0,2.0,7.0,3,28.57142857142857,50.0
2016-0406,Strasbourg,Hard,32,I,20160516,270,201585,2,,Sloane Stephens,R,170.0,USA,23.15674196,21.0,2310.0,202499,,,Donna Vekic,R,179.0,CRO,19.88227242,96.0,706.0,5-7 6-2 6-2,3,R32,119.0,4.0,3.0,81.0,58.0,40.0,10.0,14.0,2.0,6.0,6.0,7.0,102.0,42.0,25.0,29.0,14.0,9.0,16.0,3,56.25,33.33333333333333
2016-520,French Open,Clay,128,G,20160523,159,201585,19,,Sloane Stephens,R,170.0,USA,23.17590691,22.0,2260.0,202506,,,Margarita Gasparyan,R,183.0,RUS,21.724846,55.0,1082.0,6-4 6-3,3,R128,90.0,2.0,0.0,76.0,54.0,33.0,12.0,10.0,5.0,7.0,2.0,1.0,62.0,46.0,28.0,5.0,9.0,5.0,9.0,2,55.55555555555556,71.42857142857143
2016-520,French Open,Clay,128,G,20160523,193,201585,19,,Sloane Stephens,R,170.0,USA,23.17590691,22.0,2260.0,202705,,,Veronica Cepede Royg,R,163.0,PAR,24.33675565,161.0,355.0,7-6(0) 6-1,3,R64,90.0,2.0,1.0,80.0,59.0,40.0,12.0,10.0,5.0,6.0,1.0,0.0,69.0,50.0,27.0,8.0,9.0,6.0,9.0,2,66.66666666666666,83.33333333333334
2016-520,French Open,Clay,128,G,20160523,210,201450,,,Tsvetana Pironkova,R,180.0,BUL,28.69267625,102.0,644.0,201585,19,,Sloane Stephens,R,170.0,USA,23.17590691,22.0,2260.0,6-2 6-1,3,R32,51.0,2.0,1.0,37.0,19.0,15.0,14.0,8.0,0.0,1.0,1.0,1.0,45.0,31.0,12.0,5.0,7.0,2.0,7.0,2,28.57142857142857,0.0
2016-540,Wimbledon,Grass,128,G,20160627,104,201585,18,,Sloane Stephens,R,170.0,USA,23.27173169,22.0,1995.0,201397,,,Shuai Peng,R,173.0,CHN,30.46680356,264.0,171.0,7-6(5) 6-2,3,R128,89.0,2.0,0.0,60.0,39.0,31.0,16.0,10.0,0.0,0.0,4.0,1.0,73.0,46.0,34.0,12.0,10.0,6.0,8.0,2,75.0,
