tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-580,Australian Open,Hard,128,G,20160118,143,202494,18,,Elina Svitolina,R,174.0,UKR,21.34976044,21.0,2465.0,202497,,,Victoria Duval,R,,USA,20.13415469,654.0,30.0,6-2 6-3,3,R128,69.0,5.0,3.0,76.0,46.0,31.0,16.0,9.0,8.0,9.0,0.0,7.0,52.0,36.0,21.0,3.0,8.0,2.0,6.0,2,33.33333333333333,88.88888888888889
2016-0718,Dubai,Hard,32,I,20160215,294,202494,,,Elina Svitolina,R,174.0,UKR,21.42642026,21.0,2405.0,201535,,,Coco Vandeweghe,R,185.0,USA,24.19438741,46.0,1068.0,6-4 1-6 6-2,3,QF,117.0,1.0,9.0,86.0,51.0,34.0,10.0,13.0,7.0,13.0,4.0,8.0,77.0,35.0,20.0,20.0,12.0,4.0,10.0,3,40.0,53.84615384615385
2016-0718,Dubai,Hard,32,I,20160215,286,202494,,,Elina Svitolina,R,174.0,UKR,21.42642026,21.0,2405.0,202469,2,,Garbine Muguruza,R,182.0,ESP,22.35455168,5.0,4991.0,7-6(3) 6-3,3,R16,113.0,2.0,4.0,75.0,45.0,32.0,11.0,11.0,2.0,6.0,3.0,5.0,95.0,61.0,37.0,9.0,10.0,5.0,10.0,2,50.0,33.33333333333333
2016-0718,Dubai,Hard,32,I,20160215,271,202494,,,Elina Svitolina,R,174.0,UKR,21.42642026,21.0,2405.0,202450,,Q,Jana Cepelova,R,168.0,SVK,22.71594798,133.0,424.0,6-3 6-1,3,R32,72.0,5.0,3.0,68.0,41.0,25.0,14.0,8.0,8.0,11.0,0.0,5.0,58.0,41.0,17.0,5.0,8.0,4.0,11.0,2,36.36363636363637,72.72727272727273
2016-1041,Kuala Lumpur,Hard,32,I,20160229,300,202494,2,,Elina Svitolina,R,174.0,UKR,21.46475017,19.0,2530.0,202446,6,,Eugenie Bouchard,R,178.0,CAN,22.00958248,52.0,1046.0,6-7(5) 6-4 7-5,3,F,173.0,3.0,5.0,116.0,74.0,47.0,21.0,17.0,4.0,9.0,2.0,1.0,112.0,69.0,41.0,20.0,17.0,7.0,14.0,3,50.0,44.44444444444444
2016-1041,Kuala Lumpur,Hard,32,I,20160229,298,202494,2,,Elina Svitolina,R,174.0,UKR,21.46475017,19.0,2530.0,202684,,Q,Lin Zhu,R,173.0,CHN,22.0862423,190.0,264.0,6-3 6-3,3,SF,61.0,2.0,0.0,50.0,33.0,23.0,10.0,9.0,0.0,1.0,0.0,3.0,50.0,28.0,20.0,8.0,9.0,1.0,5.0,2,20.0,0.0
2016-1041,Kuala Lumpur,Hard,32,I,20160229,294,202494,2,,Elina Svitolina,R,174.0,UKR,21.46475017,19.0,2530.0,201568,,,Kristina Kucova,R,163.0,SVK,25.77138946,139.0,403.0,1-6 6-1 6-1,3,QF,102.0,3.0,2.0,84.0,53.0,33.0,9.0,11.0,8.0,13.0,0.0,5.0,65.0,37.0,22.0,7.0,10.0,6.0,13.0,3,46.15384615384615,61.53846153846154
2016-1041,Kuala Lumpur,Hard,32,I,20160229,286,202494,2,,Elina Svitolina,R,174.0,UKR,21.46475017,19.0,2530.0,203552,,Q,Risa Ozaki,R,162.0,JPN,21.88911704,133.0,431.0,6-1 3-6 6-0,3,R16,117.0,4.0,2.0,77.0,48.0,31.0,15.0,11.0,7.0,10.0,0.0,1.0,71.0,42.0,20.0,12.0,11.0,11.0,18.0,3,61.111111111111114,70.0
2016-1041,Kuala Lumpur,Hard,32,I,20160229,270,202494,2,,Elina Svitolina,R,174.0,UKR,21.46475017,19.0,2530.0,203504,,Q,Miyu Kato,R,156.0,JPN,21.27310062,171.0,320.0,6-1 6-1,3,R32,47.0,3.0,0.0,36.0,20.0,19.0,10.0,7.0,2.0,2.0,0.0,0.0,48.0,32.0,14.0,6.0,7.0,1.0,6.0,2,16.666666666666664,100.0
2016-M006,Indian Wells,Hard,128,P,20160307,251,202494,17,,Elina Svitolina,R,174.0,UKR,21.48391513,14.0,2750.0,202470,,,Annika Beck,R,170.0,GER,22.05338809,43.0,1206.0,4-6 7-6(0) 6-1,3,R64,134.0,4.0,8.0,92.0,57.0,42.0,18.0,15.0,3.0,7.0,1.0,5.0,85.0,59.0,34.0,11.0,14.0,2.0,7.0,3,28.57142857142857,42.857142857142854
2016-M007,Miami,Hard,128,P,20160321,283,202494,12,,Elina Svitolina,R,174.0,UKR,21.52224504,16.0,2695.0,201496,23,,Caroline Wozniacki,R,177.0,DEN,25.69472964,25.0,1991.0,5-7 6-4 7-6(1),3,R32,162.0,4.0,4.0,91.0,59.0,43.0,17.0,17.0,3.0,8.0,2.0,3.0,113.0,57.0,38.0,25.0,17.0,7.0,12.0,3,58.333333333333336,37.5
2016-M007,Miami,Hard,128,P,20160321,265,202494,12,,Elina Svitolina,R,174.0,UKR,21.52224504,16.0,2695.0,201533,,,Shuai Zhang,R,177.0,CHN,27.16221766,68.0,968.0,6-3 6-0,3,R64,70.0,3.0,0.0,45.0,33.0,23.0,5.0,7.0,0.0,1.0,0.0,0.0,54.0,32.0,15.0,6.0,8.0,6.0,12.0,2,50.0,0.0
2016-M021,Madrid,Clay,64,P,20160502,257,202494,12,,Elina Svitolina,R,174.0,UKR,21.63723477,19.0,2475.0,201518,,,Yanina Wickmayer,R,182.0,BEL,26.53251198,54.0,1098.0,4-6 6-3 6-4,3,R64,109.0,9.0,4.0,91.0,58.0,45.0,19.0,15.0,3.0,5.0,1.0,3.0,74.0,44.0,34.0,18.0,14.0,2.0,5.0,3,40.0,60.0
2016-520,French Open,Clay,128,G,20160523,104,202494,18,,Elina Svitolina,R,174.0,UKR,21.69472964,20.0,2416.0,201514,,,Sorana Cirstea,R,176.0,ROU,26.12731006,97.0,693.0,6-1 6-3,3,R128,65.0,2.0,4.0,52.0,31.0,28.0,5.0,8.0,1.0,2.0,1.0,2.0,48.0,28.0,16.0,6.0,8.0,4.0,9.0,2,44.44444444444444,50.0
2016-520,French Open,Clay,128,G,20160523,166,202494,18,,Elina Svitolina,R,174.0,UKR,21.69472964,20.0,2416.0,203501,,,Taylor Townsend,L,,USA,20.10130048,172.0,311.0,6-3 6-0,3,R64,64.0,2.0,3.0,56.0,32.0,25.0,11.0,8.0,5.0,6.0,2.0,4.0,45.0,25.0,14.0,5.0,7.0,4.0,9.0,2,44.44444444444444,83.33333333333334
2016-520,French Open,Clay,128,G,20160523,197,202494,18,,Elina Svitolina,R,174.0,UKR,21.69472964,20.0,2416.0,201421,14,,Ana Ivanovic,R,183.0,SRB,28.54483231,16.0,2560.0,6-4 6-4,3,R32,78.0,2.0,4.0,65.0,42.0,24.0,11.0,10.0,3.0,8.0,4.0,2.0,71.0,42.0,22.0,10.0,10.0,6.0,13.0,2,46.15384615384615,37.5
2016-540,Wimbledon,Grass,128,G,20160627,159,202494,17,,Elina Svitolina,R,174.0,UKR,21.79055441,20.0,2226.0,201648,,,Naomi Broady,R,189.0,GBR,26.32717317,83.0,795.0,6-2 6-3,3,R128,60.0,0.0,1.0,37.0,21.0,18.0,14.0,9.0,0.0,0.0,7.0,3.0,58.0,36.0,25.0,8.0,8.0,8.0,12.0,2,66.66666666666666,
2016-0806,Montreal,Hard,64,I,20160725,271,202494,17,,Elina Svitolina,R,174.0,UKR,21.86721424,20.0,2226.0,211796,,WC,Francoise Abanda,R,178.0,CAN,19.466119100000004,272.0,168.0,7-6(2) 7-6(3),3,R32,119.0,3.0,5.0,77.0,42.0,26.0,15.0,12.0,0.0,6.0,3.0,3.0,103.0,58.0,34.0,16.0,12.0,11.0,17.0,2,64.70588235294117,0.0
