tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets
2017-1049,Auckland,Hard,32,I,20170102,300,201616,,,Lauren Davis,R,157.0,USA,23.23340178,61.0,960.0,211951,8.0,,Ana Konjuh,R,174.0,CRO,19.01711157,47.0,1189.0,6-3 6-1,3,F,71.0,1.0,1.0,54.0,26.0,19.0,18.0,8.0,2.0,3.0,2.0,5.0,51.0,23.0,14.0,10.0,8.0,3.0,8.0,2
2017-1049,Auckland,Hard,32,I,20170102,299,201616,,,Lauren Davis,R,157.0,USA,23.23340178,61.0,960.0,211533,7.0,,Jelena Ostapenko,R,177.0,LAT,19.57015743,44.0,1225.0,4-6 6-4 4-1 RET,3,SF,116.0,3.0,6.0,94.0,61.0,42.0,13.0,13.0,11.0,15.0,5.0,10.0,76.0,46.0,31.0,8.0,12.0,5.0,10.0,3
2017-1049,Auckland,Hard,32,I,20170102,298,211951,8.0,,Ana Konjuh,R,174.0,CRO,19.01711157,47.0,1189.0,201504,,,Julia Goerges,R,180.0,GER,28.1670089,53.0,1110.0,6-3 4-6 6-3,3,SF,123.0,4.0,8.0,94.0,46.0,33.0,28.0,14.0,7.0,9.0,7.0,4.0,91.0,51.0,35.0,19.0,14.0,8.0,12.0,3
2017-1049,Auckland,Hard,32,I,20170102,297,211533,7.0,,Jelena Ostapenko,R,177.0,LAT,19.57015743,44.0,1225.0,201483,,,Madison Brengle,R,168.0,USA,26.75154004,72.0,870.0,7-5 6-3,3,QF,87.0,4.0,6.0,72.0,40.0,27.0,14.0,11.0,6.0,10.0,0.0,2.0,68.0,39.0,22.0,10.0,10.0,5.0,11.0,2
2017-1049,Auckland,Hard,32,I,20170102,296,201616,,,Lauren Davis,R,157.0,USA,23.23340178,61.0,960.0,201366,4.0,,Barbora Zahlavova Strycova,R,164.0,CZE,30.76796715,20.0,2170.0,6-1 7-6(4),3,QF,104.0,0.0,3.0,78.0,50.0,35.0,13.0,10.0,5.0,7.0,1.0,3.0,65.0,45.0,28.0,5.0,9.0,6.0,10.0,2
2017-1049,Auckland,Hard,32,I,20170102,295,201504,,,Julia Goerges,R,180.0,GER,28.1670089,53.0,1110.0,201496,3.0,,Caroline Wozniacki,R,177.0,DEN,26.48049281,19.0,2185.0,1-6 6-3 6-4,3,QF,107.0,9.0,10.0,79.0,48.0,33.0,12.0,13.0,4.0,9.0,1.0,3.0,77.0,57.0,34.0,9.0,13.0,5.0,10.0,3
2017-1049,Auckland,Hard,32,I,20170102,294,211951,8.0,,Ana Konjuh,R,174.0,CRO,19.01711157,47.0,1189.0,211768,,,Naomi Osaka,R,180.0,JPN,19.21423682,48.0,1161.0,2-0 RET,3,QF,13.0,1.0,3.0,8.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,2.0,1.0,2.0,1.0,0.0,1.0,1
2017-1049,Auckland,Hard,32,I,20170102,293,201483,,,Madison Brengle,R,168.0,USA,26.75154004,72.0,870.0,200033,1.0,,Serena Williams,R,175.0,USA,35.26899384,2.0,7050.0,6-4 6-7(3) 6-4,3,R16,133.0,0.0,4.0,115.0,82.0,55.0,17.0,16.0,10.0,12.0,9.0,4.0,95.0,59.0,44.0,17.0,16.0,4.0,8.0,3
2017-1049,Auckland,Hard,32,I,20170102,292,211533,7.0,,Jelena Ostapenko,R,177.0,LAT,19.57015743,44.0,1225.0,200002,,,Mirjana Lucic,R,181.0,CRO,34.81998631,79.0,781.0,6-2 7-6(3),3,R16,83.0,3.0,9.0,59.0,26.0,18.0,18.0,10.0,2.0,5.0,5.0,6.0,81.0,43.0,22.0,17.0,10.0,8.0,13.0,2
2017-1049,Auckland,Hard,32,I,20170102,291,201366,4.0,,Barbora Zahlavova Strycova,R,164.0,CZE,30.76796715,20.0,2170.0,201425,,,Lucie Safarova,L,177.0,CZE,29.91101985,62.0,940.0,7-5 3-6 7-6(4),3,R16,169.0,6.0,2.0,108.0,75.0,52.0,15.0,17.0,8.0,13.0,7.0,1.0,110.0,63.0,40.0,25.0,16.0,7.0,11.0,3
