winner_rank,loser_rank
30.0,50.0
50.0,172.0
30.0,17.0
50.0,66.0
172.0,85.0
17.0,69.0
30.0,122.0
66.0,75.0
50.0,42.0
172.0,25.0
85.0,76.0
69.0,135.0
17.0,63.0
30.0,64.0
122.0,84.0
75.0,7.0
66.0,78.0
50.0,53.0
42.0,104.0
25.0,45.0
172.0,114.0
85.0,60.0
76.0,37.0
69.0,44.0
135.0,77.0
63.0,54.0
17.0,57.0
30.0,73.0
64.0,74.0
84.0,56.0
122.0,16.0
22.0,10.0
22.0,142.0
10.0,13.0
22.0,15.0
142.0,24.0
10.0,28.0
13.0,47.0
22.0,170.0
15.0,38.0
24.0,23.0
142.0,14.0
28.0,43.0
10.0,40.0
13.0,27.0
47.0,3.0
22.0,115.0
38.0,41.0
15.0,21.0
23.0,61.0
24.0,46.0
142.0,336.0
14.0,20.0
28.0,12.0
43.0,29.0
40.0,89.0
10.0,35.0
13.0,65.0
27.0,147.0
47.0,26.0
5.0,97.0
5.0,95.0
97.0,70.0
5.0,110.0
95.0,102.0
70.0,49.0
97.0,91.0
5.0,139.0
110.0,412.0
95.0,31.0
102.0,52.0
49.0,109.0
70.0,39.0
97.0,93.0
91.0,72.0
5.0,108.0
139.0,180.0
412.0,119.0
110.0,48.0
31.0,86.0
95.0,79.0
102.0,96.0
52.0,140.0
49.0,103.0
109.0,125.0
70.0,87.0
39.0,113.0
97.0,58.0
93.0,118.0
91.0,67.0
72.0,6.0
42.0,47.0
42.0,54.0
47.0,37.0
42.0,45.0
54.0,53.0
37.0,103.0
47.0,35.0
45.0,145.0
42.0,142.0
53.0,38.0
54.0,60.0
103.0,56.0
37.0,341.0
47.0,44.0
35.0,58.0
45.0,65.0
145.0,110.0
142.0,188.0
42.0,67.0
38.0,66.0
53.0,46.0
60.0,780.0
54.0,48.0
103.0,39.0
56.0,84.0
341.0,55.0
37.0,49.0
44.0,63.0
47.0,64.0
58.0,120.0
35.0,52.0
25.0,94.0
25.0,2.0
94.0,14.0
2.0,11.0
25.0,19.0
14.0,23.0
94.0,27.0
2.0,34.0
11.0,28.0
25.0,32.0
19.0,21.0
14.0,61.0
23.0,7.0
94.0,29.0
27.0,88.0
34.0,30.0
28.0,89.0
11.0,22.0
32.0,73.0
25.0,462.0
21.0,41.0
19.0,12.0
14.0,69.0
61.0,33.0
23.0,57.0
7.0,20.0
29.0,13.0
94.0,77.0
27.0,15.0
1.0,36.0
90.0,81.0
87.0,108.0
69.0,29.0
58.0,19.0
94.0,147.0
162.0,77.0
76.0,18.0
13.0,88.0
60.0,79.0
92.0,67.0
20.0,89.0
103.0,28.0
75.0,41.0
105.0,91.0
5.0,56.0
4.0,65.0
37.0,119.0
52.0,93.0
114.0,27.0
102.0,26.0
82.0,100.0
74.0,101.0
15.0,126.0
11.0,149.0
170.0,138.0
40.0,46.0
109.0,25.0
30.0,38.0
106.0,99.0
39.0,53.0
7.0,158.0
6.0,64.0
61.0,355.0
49.0,42.0
50.0,31.0
22.0,72.0
97.0,95.0
55.0,335.0
14.0,98.0
16.0,43.0
54.0,107.0
127.0,104.0
21.0,654.0
48.0,34.0
349.0,44.0
80.0,68.0
3.0,85.0
47.0,10.0
83.0,62.0
66.0,63.0
32.0,132.0
24.0,779.0
73.0,71.0
45.0,96.0
12.0,296.0
17.0,57.0
70.0,78.0
113.0,122.0
23.0,459.0
51.0,35.0
86.0,146.0
33.0,84.0
133.0,2.0
1.0,90.0
69.0,87.0
58.0,94.0
76.0,162.0
13.0,60.0
92.0,20.0
103.0,75.0
5.0,105.0
4.0,37.0
52.0,114.0
82.0,102.0
15.0,74.0
11.0,170.0
109.0,40.0
30.0,106.0
39.0,7.0
6.0,61.0
49.0,50.0
97.0,22.0
55.0,14.0
16.0,54.0
127.0,21.0
48.0,349.0
3.0,80.0
47.0,83.0
66.0,32.0
24.0,73.0
12.0,45.0
17.0,70.0
23.0,113.0
51.0,86.0
133.0,33.0
1.0,69.0
58.0,76.0
13.0,92.0
5.0,103.0
4.0,52.0
82.0,15.0
11.0,109.0
39.0,30.0
6.0,49.0
55.0,97.0
16.0,127.0
48.0,3.0
47.0,66.0
24.0,12.0
17.0,23.0
133.0,51.0
1.0,58.0
5.0,13.0
4.0,82.0
11.0,39.0
6.0,55.0
16.0,48.0
47.0,24.0
133.0,17.0
1.0,5.0
4.0,11.0
6.0,16.0
47.0,133.0
1.0,4.0
6.0,47.0
6.0,1.0
12.0,61.0
12.0,64.0
61.0,81.0
12.0,103.0
64.0,117.0
81.0,95.0
61.0,89.0
12.0,113.0
103.0,108.0
64.0,184.0
117.0,70.0
81.0,173.0
95.0,68.0
89.0,196.0
61.0,97.0
12.0,529.0
113.0,327.0
103.0,140.0
108.0,92.0
64.0,212.0
184.0,246.0
117.0,155.0
70.0,185.0
81.0,288.0
173.0,112.0
95.0,218.0
68.0,349.0
89.0,94.0
196.0,199.0
97.0,137.0
61.0,102.0
16.0,11.0
11.0,63.0
16.0,20.0
11.0,26.0
63.0,66.0
20.0,177.0
16.0,51.0
11.0,39.0
26.0,76.0
66.0,18.0
63.0,87.0
177.0,122.0
20.0,43.0
51.0,37.0
16.0,55.0
39.0,71.0
76.0,125.0
26.0,111.0
66.0,98.0
63.0,69.0
87.0,30.0
122.0,124.0
177.0,41.0
43.0,86.0
37.0,265.0
51.0,109.0
55.0,85.0
22.0,47.0
47.0,38.0
22.0,21.0
47.0,17.0
38.0,28.0
22.0,60.0
21.0,46.0
17.0,3.0
47.0,54.0
38.0,11.0
28.0,20.0
22.0,82.0
60.0,8.0
46.0,30.0
21.0,5.0
17.0,35.0
47.0,93.0
54.0,18.0
38.0,29.0
28.0,40.0
20.0,9.0
82.0,13.0
22.0,72.0
60.0,31.0
46.0,14.0
30.0,34.0
21.0,133.0
132.0,131.0
132.0,162.0
131.0,199.0
162.0,89.0
132.0,187.0
199.0,50.0
131.0,285.0
162.0,179.0
89.0,160.0
187.0,258.0
132.0,81.0
199.0,83.0
50.0,171.0
131.0,128.0
285.0,48.0
162.0,43.0
179.0,127.0
160.0,246.0
89.0,136.0
187.0,64.0
258.0,204.0
81.0,117.0
132.0,90.0
83.0,219.0
199.0,228.0
171.0,124.0
50.0,156.0
131.0,102.0
128.0,116.0
285.0,125.0
48.0,104.0
24.0,66.0
66.0,64.0
24.0,52.0
66.0,59.0
64.0,68.0
52.0,25.0
24.0,114.0
66.0,14.0
59.0,108.0
68.0,26.0
64.0,46.0
52.0,58.0
25.0,147.0
114.0,74.0
24.0,89.0
14.0,82.0
66.0,105.0
108.0,117.0
59.0,132.0
26.0,91.0
68.0,78.0
64.0,83.0
46.0,90.0
52.0,246.0
58.0,111.0
147.0,317.0
25.0,109.0
74.0,44.0
114.0,106.0
89.0,76.0
24.0,123.0
11.0,88.0
88.0,27.0
11.0,3.0
88.0,72.0
27.0,5.0
3.0,10.0
11.0,118.0
72.0,61.0
88.0,8.0
5.0,48.0
27.0,43.0
10.0,161.0
3.0,37.0
11.0,15.0
118.0,22.0
72.0,2.0
61.0,62.0
88.0,21.0
8.0,38.0
5.0,60.0
48.0,17.0
27.0,41.0
43.0,7.0
161.0,12.0
10.0,47.0
37.0,20.0
3.0,75.0
11.0,104.0
15.0,56.0
22.0,35.0
118.0,4.0
72.0,49.0
61.0,95.0
62.0,18.0
21.0,53.0
88.0,84.0
38.0,29.0
60.0,69.0
48.0,54.0
17.0,103.0
41.0,19.0
27.0,32.0
43.0,71.0
161.0,73.0
47.0,101.0
10.0,34.0
20.0,127.0
37.0,31.0
75.0,40.0
104.0,377.0
56.0,30.0
15.0,80.0
22.0,81.0
35.0,51.0
118.0,33.0
19.0,52.0
52.0,96.0
19.0,190.0
52.0,128.0
96.0,31.0
190.0,99.0
19.0,139.0
128.0,153.0
52.0,82.0
31.0,191.0
96.0,176.0
99.0,121.0
190.0,95.0
139.0,69.0
19.0,133.0
153.0,10.0
128.0,79.0
82.0,170.0
52.0,278.0
31.0,107.0
191.0,135.0
96.0,115.0
176.0,63.0
121.0,59.0
99.0,147.0
190.0,160.0
95.0,42.0
69.0,124.0
139.0,116.0
133.0,87.0
19.0,171.0
84.0,73.0
73.0,91.0
84.0,38.0
91.0,104.0
73.0,27.0
38.0,118.0
84.0,22.0
91.0,17.0
104.0,61.0
27.0,48.0
73.0,47.0
38.0,134.0
118.0,65.0
84.0,81.0
22.0,71.0
17.0,88.0
91.0,57.0
61.0,253.0
104.0,50.0
27.0,74.0
48.0,64.0
73.0,97.0
47.0,80.0
38.0,127.0
134.0,67.0
65.0,237.0
118.0,26.0
81.0,45.0
84.0,54.0
71.0,90.0
22.0,83.0
15.0,1.0
1.0,3.0
15.0,19.0
1.0,5.0
3.0,9.0
15.0,97.0
19.0,48.0
1.0,70.0
5.0,37.0
3.0,20.0
9.0,95.0
97.0,10.0
15.0,28.0
48.0,21.0
19.0,26.0
1.0,56.0
70.0,36.0
37.0,89.0
5.0,32.0
3.0,34.0
20.0,38.0
95.0,72.0
9.0,66.0
