tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-1063,Shenzhen,Hard,32,I,20160104,286,204426,,,Anett Kontaveit,R,174.0,EST,20.03011636,91.0,691.0,202453,,,Saisai Zheng,R,170.0,CHN,21.91101985,72.0,840.0,6-1 6-2,3,R16,60.0,2.0,2.0,42.0,23.0,19.0,10.0,7.0,2.0,3.0,0.0,1.0,51.0,30.0,13.0,7.0,8.0,3.0,9.0,2,33.33333333333333,66.66666666666666
2016-1063,Shenzhen,Hard,32,I,20160104,270,202453,,,Saisai Zheng,R,170.0,CHN,21.91101985,72.0,840.0,201520,2,,Petra Kvitova,L,183.0,CZE,25.82614648,6.0,4220.0,6-2 0-0 RET,3,R32,41.0,0.0,2.0,20.0,11.0,10.0,6.0,4.0,0.0,0.0,1.0,1.0,33.0,22.0,12.0,3.0,4.0,4.0,6.0,2,66.66666666666666,
2016-580,Australian Open,Hard,128,G,20160118,149,202453,,,Saisai Zheng,R,170.0,CHN,21.94934976,83.0,760.0,202489,,,Carina Witthoeft,R,176.0,GER,20.91991786,62.0,925.0,6-1 6-2,3,R128,73.0,2.0,5.0,47.0,29.0,20.0,8.0,8.0,5.0,7.0,3.0,9.0,57.0,35.0,17.0,5.0,7.0,5.0,12.0,2,41.66666666666667,71.42857142857143
2016-580,Australian Open,Hard,128,G,20160118,188,202427,,,Johanna Konta,R,180.0,GBR,24.67351129,47.0,1098.0,202453,,,Saisai Zheng,R,170.0,CHN,21.94934976,83.0,760.0,6-2 6-3,3,R64,82.0,1.0,3.0,56.0,31.0,24.0,13.0,9.0,3.0,4.0,0.0,1.0,46.0,27.0,16.0,8.0,8.0,4.0,8.0,2,50.0,75.0
2016-1087,Kaohsiung,Hard,32,I,20160208,290,201527,,,Stefanie Voegele,R,170.0,SUI,25.91649555,117.0,540.0,202453,5,,Saisai Zheng,R,170.0,CHN,22.00684463,70.0,820.0,6-4 6-4,3,R16,109.0,2.0,0.0,64.0,41.0,25.0,10.0,10.0,4.0,8.0,1.0,2.0,71.0,48.0,23.0,10.0,10.0,5.0,11.0,2,45.45454545454545,50.0
2016-1087,Kaohsiung,Hard,32,I,20160208,278,202453,5,,Saisai Zheng,R,170.0,CHN,22.00684463,70.0,820.0,201440,,Q,Laura Pous Tio,U,173.0,ESP,31.35386721,185.0,274.0,6-2 7-5,3,R32,93.0,3.0,3.0,59.0,36.0,25.0,13.0,10.0,0.0,1.0,2.0,4.0,72.0,50.0,29.0,9.0,10.0,4.0,8.0,2,50.0,0.0
2016-0718,Dubai,Hard,32,I,20160215,276,201506,,,Sara Errani,R,164.0,ITA,28.79945243,22.0,2405.0,202453,,Q,Saisai Zheng,R,170.0,CHN,22.02600958,72.0,820.0,7-5 6-3,3,R32,106.0,0.0,2.0,81.0,72.0,41.0,3.0,11.0,3.0,7.0,0.0,3.0,57.0,42.0,22.0,6.0,10.0,5.0,11.0,2,45.45454545454545,42.857142857142854
2016-1003,Doha,Hard,64,I,20160222,297,211533,,,Jelena Ostapenko,R,177.0,LAT,18.70773443,88.0,752.0,202453,,,Saisai Zheng,R,170.0,CHN,22.04517454,72.0,820.0,6-4 6-3,3,QF,97.0,1.0,3.0,59.0,37.0,19.0,13.0,10.0,4.0,8.0,0.0,1.0,78.0,60.0,29.0,8.0,9.0,10.0,16.0,2,62.5,50.0
2016-1003,Doha,Hard,64,I,20160222,293,202453,,,Saisai Zheng,R,170.0,CHN,22.04517454,72.0,820.0,202446,,WC,Eugenie Bouchard,R,178.0,CAN,21.99041752,61.0,942.0,7-6(1) 6-1,3,R16,95.0,0.0,0.0,78.0,62.0,34.0,11.0,10.0,6.0,9.0,0.0,2.0,57.0,36.0,20.0,5.0,9.0,4.0,9.0,2,44.44444444444444,66.66666666666666
2016-1003,Doha,Hard,64,I,20160222,285,202453,,,Saisai Zheng,R,170.0,CHN,22.04517454,72.0,820.0,201493,1,,Angelique Kerber,L,173.0,GER,28.09582478,2.0,5700.0,7-5 6-1,3,R32,79.0,0.0,0.0,56.0,40.0,21.0,14.0,9.0,5.0,7.0,0.0,2.0,67.0,44.0,21.0,11.0,10.0,1.0,7.0,2,14.285714285714285,71.42857142857143
