2018-2019,877,John Hancock Demonstration School,Network 8,All Grades,769,41,5.33,728,94.67,195,25.36,574,74.64,337,43.82,432,56.18,2,0.26,31,4.03,102,13.26,99,12.87,72,9.36,0,0.00,463,60.21,77.19
2018-2019,844,William H. Loesche School,Network 8,All Grades,885,329,37.18,556,62.82,78,8.81,807,91.19,414,46.78,471,53.22,3,0.34,223,25.20,90,10.17,39,4.41,51,5.76,1,0.11,478,54.01,98.71
2018-2019,843,Joseph Greenberg School,Network 8,08,90,7,7.78,83,92.22,11,12.22,79,87.78,39,43.33,51,56.67,0,0.00,21,23.33,11,12.22,10,11.11,6,6.67,0,0.00,42,46.67,.
2018-2019,842,Stephen Decatur School,Network 8,All Grades,992,78,7.86,914,92.14,159,16.03,833,83.97,488,49.19,504,50.81,0,0.00,80,8.06,168,16.94,129,13.00,98,9.88,1,0.10,516,52.02,74.84
2018-2019,841,Robert B. Pollock School,Network 9,All Grades,650,65,10.00,585,90.00,114,17.54,536,82.46,299,46.00,351,54.00,1,0.15,64,9.85,244,37.54,141,21.69,67,10.31,0,0.00,133,20.46,97.23
2018-2019,840,Anne Frank School,Network 8,All Grades,1325,342,25.81,983,74.19,69,5.21,1256,94.79,638,48.15,687,51.85,5,0.38,374,28.23,191,14.42,120,9.06,73,5.51,0,0.00,562,42.42,86.70
2018-2019,839,A.L. Fitzpatrick School,Network 8,All Grades,828,72,8.70,756,91.30,145,17.51,683,82.49,416,50.24,412,49.76,2,0.24,54,6.52,164,19.81,120,14.49,63,7.61,2,0.24,423,51.09,85.80
2018-2019,838,Louis H. Farrell School,Network 8,All Grades,1153,260,22.55,893,77.45,135,11.71,1018,88.29,548,47.53,605,52.47,2,0.17,190,16.48,186,16.13,227,19.69,133,11.54,5,0.43,410,35.56,100.00
2018-2019,837,Watson Comly School,Network 8,All Grades,519,125,24.08,394,75.92,69,13.29,450,86.71,249,47.98,270,52.02,1,0.19,71,13.68,60,11.56,51,9.83,39,7.51,0,0.00,297,57.23,68.13
2018-2019,836,Rhawnhurst School,Network 8,All Grades,656,184,28.05,472,71.95,39,5.95,617,94.05,323,49.24,333,50.76,2,0.30,172,26.22,147,22.41,120,18.29,63,9.60,2,0.30,150,22.87,100.00
2018-2019,835,Gilbert Spruance School,Network 9,All Grades,1387,310,22.35,1077,77.65,149,10.74,1238,89.26,673,48.52,714,51.48,8,0.58,166,11.97,554,39.94,436,31.43,91,6.56,7,0.50,125,9.01,100.00
2018-2019,834,Solomon Solis-Cohen School,Network 8,All Grades,1201,442,36.80,759,63.20,115,9.58,1086,90.42,595,49.54,606,50.46,6,0.50,293,24.40,252,20.98,418,34.80,73,6.08,4,0.33,155,12.91,100.00
2018-2019,831,J. Hampton Moore School,Network 8,All Grades,1182,291,24.62,891,75.38,139,11.76,1043,88.24,594,50.25,588,49.75,3,0.25,211,17.85,397,33.59,369,31.22,84,7.11,0,0.00,118,9.98,100.00
2018-2019,830,Mayfair School,Network 9,All Grades,1910,610,31.94,1300,68.06,173,9.06,1737,90.94,883,46.23,1027,53.77,0,0.00,598,31.31,218,11.41,530,27.75,134,7.02,4,0.21,426,22.30,100.00
2018-2019,827,Thomas Holme School,Network 9,All Grades,614,67,10.91,547,89.09,93,15.15,521,84.85,310,50.49,304,49.51,0,0.00,54,8.79,164,26.71,119,19.38,75,12.21,0,0.00,202,32.90,100.00
2018-2019,826,Fox Chase School,Network 8,All Grades,507,43,8.48,464,91.52,90,17.75,417,82.25,234,46.15,273,53.85,2,0.39,31,6.11,109,21.50,80,15.78,59,11.64,1,0.20,225,44.38,80.16
2018-2019,825,Edwin Forrest School,Network 9,All Grades,1168,77,6.59,1091,93.41,137,11.73,1031,88.27,588,50.34,580,49.66,4,0.34,46,3.94,407,34.85,323,27.65,125,10.70,1,0.09,262,22.43,100.00
2018-2019,824,Hamilton Disston School,Network 9,All Grades,899,95,10.57,804,89.43,99,11.01,800,88.99,453,50.39,446,49.61,3,0.33,19,2.11,340,37.82,284,31.59,97,10.79,1,0.11,155,17.24,100.00
2018-2019,823,Kennedy C. Crossan School,Network 8,All Grades,329,43,13.07,286,86.93,34,10.33,295,89.67,161,48.94,168,51.06,1,0.30,31,9.42,113,34.35,57,17.33,36,10.94,1,0.30,90,27.36,100.00
2018-2019,821,Joseph H. Brown School,Network 9,All Grades,605,71,11.74,534,88.26,99,16.36,506,83.64,275,45.45,330,54.55,1,0.17,24,3.97,188,31.07,142,23.47,63,10.41,1,0.17,186,30.74,100.00
2018-2019,820,Ethan Allen School,Network 9,All Grades,1007,241,23.93,766,76.07,123,12.21,884,87.79,482,47.86,525,52.14,2,0.20,110,10.92,303,30.09,360,35.75,113,11.22,2,0.20,117,11.62,100.00
2018-2019,816,Baldi School,Network 8,All Grades,1498,266,17.76,1232,82.24,206,13.75,1292,86.25,740,49.40,758,50.60,5,0.33,280,18.69,229,15.29,148,9.88,158,10.55,4,0.27,674,44.99,81.82
2018-2019,814,Austin Meehan School,Network 9,All Grades,655,69,10.53,586,89.47,112,17.10,543,82.90,301,45.95,354,54.05,3,0.46,34,5.19,233,35.57,166,25.34,61,9.31,0,0.00,158,24.12,100.00
2018-2019,812,Woodrow Wilson School,Network 8,All Grades,1335,348,26.07,987,73.93,166,12.43,1169,87.57,625,46.82,710,53.18,5,0.37,272,20.37,394,29.51,376,28.16,127,9.51,0,0.00,161,12.06,100.00
2018-2019,809,Swenson Arts and Technology High School,Network 4,All Grades,649,38,5.86,611,94.14,131,20.18,518,79.82,243,37.44,406,62.56,3,0.46,29,4.47,168,25.89,194,29.89,28,4.31,0,0.00,227,34.98,87.03
2018-2019,804,Arts Academy at Benjamin Rush,Network 1,All Grades,620,12,1.94,608,98.06,57,9.19,563,90.81,469,75.65,151,24.35,0,0.00,36,5.81,113,18.23,108,17.42,37,5.97,0,0.00,326,52.58,57.29
2018-2019,803,George Washington High School,Network 8,All Grades,1365,283,20.73,1082,79.27,276,20.22,1089,79.78,608,44.54,757,55.46,4,0.29,236,17.29,419,30.70,190,13.92,75,5.49,0,0.00,441,32.31,85.80
2018-2019,802,Northeast High School,Network 8,All Grades,3467,737,21.26,2730,78.74,354,10.21,3113,89.79,1428,41.19,2039,58.81,7,0.20,755,21.78,1003,28.93,896,25.84,238,6.86,6,0.17,562,16.21,94.33
2018-2019,801,Abraham Lincoln High School,Network 8,All Grades,1788,317,17.73,1471,82.27,360,20.13,1428,79.87,807,45.13,981,54.87,2,0.11,94,5.26,700,39.15,586,32.77,114,6.38,0,0.00,292,16.33,100.00
2018-2019,773,Roberto Clemente School,Acceleration,All Grades,399,80,20.05,319,79.95,102,25.56,297,74.44,215,53.88,184,46.12,0,0.00,4,1.00,121,30.33,240,60.15,26,6.52,0,0.00,8,2.01,100.00
2018-2019,753,William Rowen School,Network 7,All Grades,438,7,1.60,431,98.40,58,13.24,380,86.76,202,46.12,236,53.88,1,0.23,0,0.00,404,92.24,8,1.83,19,4.34,0,0.00,6,1.37,100.00
