School Year,SRC School ID,School Name,Learning Network,Grade Level,Student Enrollment,ELL Count,ELL Pct,Not ELL Count,Not ELL Pct,IEP Count,IEP Pct,Not IEP Count,Not IEP Pct,Female Count,Female Pct,Male Count,Male Pct,American Indian Count,American Indian Pct,Asian Count,Asian Pct,Black/African American Count,Black/African American Pct,Hispanic Count,Hispanic Pct,Multi-Race Count,Multi-Race Pct,Pacific Islander Count,Pacific Islander Pct,White Count,White Pct,CEP Economically Disadvantaged Rate
2018-2019,101,John Bartram High School,Network 13,09,142,7,4.93,135,95.07,43,30.28,99,69.72,70,49.30,72,50.70,0,0.00,6,4.23,119,83.80,8,5.63,6,4.23,0,0.00,3,2.11,.
2018-2019,101,John Bartram High School,Network 13,10,145,10,6.90,135,93.10,37,25.52,108,74.48,58,40.00,87,60.00,1,0.69,6,4.14,126,86.90,8,5.52,3,2.07,0,0.00,1,0.69,.
2018-2019,101,John Bartram High School,Network 13,11,153,11,7.19,142,92.81,39,25.49,114,74.51,59,38.56,94,61.44,0,0.00,10,6.54,136,88.89,4,2.61,2,1.31,1,0.65,0,0.00,.
2018-2019,101,John Bartram High School,Network 13,12,94,9,9.57,85,90.43,28,29.79,66,70.21,45,47.87,49,52.13,0,0.00,1,1.06,88,93.62,3,3.19,2,2.13,0,0.00,0,0.00,.
2018-2019,101,John Bartram High School,Network 13,All Grades,534,37,6.93,497,93.07,147,27.53,387,72.47,232,43.45,302,56.55,1,0.19,23,4.31,469,87.83,23,4.31,13,2.43,1,0.19,4,0.75,100.00
2018-2019,102,West Philadelphia High School,Acceleration,09,134,2,1.49,132,98.51,53,39.55,81,60.45,46,34.33,88,65.67,0,0.00,0,0.00,120,89.55,6,4.48,7,5.22,0,0.00,1,0.75,.
2018-2019,102,West Philadelphia High School,Acceleration,10,106,1,0.94,105,99.06,35,33.02,71,66.98,42,39.62,64,60.38,0,0.00,1,0.94,98,92.45,0,0.00,5,4.72,0,0.00,2,1.89,.
2018-2019,102,West Philadelphia High School,Acceleration,11,106,2,1.89,104,98.11,33,31.13,73,68.87,46,43.40,60,56.60,1,0.94,0,0.00,100,94.34,1,0.94,3,2.83,0,0.00,1,0.94,.
2018-2019,102,West Philadelphia High School,Acceleration,12,102,1,0.98,101,99.02,35,34.31,67,65.69,50,49.02,52,50.98,1,0.98,1,0.98,100,98.04,0,0.00,0,0.00,0,0.00,0,0.00,.
2018-2019,102,West Philadelphia High School,Acceleration,All Grades,448,6,1.34,442,98.66,156,34.82,292,65.18,184,41.07,264,58.93,2,0.45,2,0.45,418,93.30,7,1.56,15,3.35,0,0.00,4,0.89,100.00
2018-2019,103,High School of the Future,Network 1,09,200,6,3.00,194,97.00,47,23.50,153,76.50,89,44.50,111,55.50,1,0.50,1,0.50,174,87.00,8,4.00,16,8.00,0,0.00,0,0.00,.
2018-2019,103,High School of the Future,Network 1,10,136,2,1.47,134,98.53,33,24.26,103,75.74,64,47.06,72,52.94,0,0.00,1,0.74,128,94.12,1,0.74,6,4.41,0,0.00,0,0.00,.
2018-2019,103,High School of the Future,Network 1,11,119,2,1.68,117,98.32,27,22.69,92,77.31,60,50.42,59,49.58,1,0.84,3,2.52,104,87.39,7,5.88,1,0.84,0,0.00,3,2.52,.
2018-2019,103,High School of the Future,Network 1,12,96,2,2.08,94,97.92,25,26.04,71,73.96,38,39.58,58,60.42,0,0.00,0,0.00,88,91.67,4,4.17,0,0.00,0,0.00,4,4.17,.
