County,Clinton-Kaine-Total,Trump-Pence-Total,Other
Albany,83071,47808,7621
Allegany,4882,12525,1109
Broome,39212,40943,5053
Cattaraugus,9497,19692,1767
Cayuga,13522,17384,1959
Chautauqua,19091,31594,3064
Chemung,13757,20097,2004
Chenango,6775,11921,1295
Clinton,15059,14449,1995
Columbia,15284,13756,1624
Cortland,8771,9900,1393
Delaware,6627,11942,1080
Dutchess,62261,61797,5874
Erie,215456,188303,19866
Essex,7762,7958,1201
Franklin,7297,8221,1122
Fulton,6496,13462,1111
Genesee,7650,16915,1690
Greene,7405,13073,1181
Hamilton,949,2064,163
Herkimer,8083,16699,1473
Jefferson,13809,21763,2367
Lewis,3146,7400,668
Livingston,10697,17290,1847
Madison,11667,15936,2198
Monroe,188592,136582,19714
Montgomery,6595,11301,1015
Nassau,332154,292025,18796
Niagara,35559,51961,4281
Oneida,33743,51437,5178
Onondaga,112337,83649,12454
Ontario,22233,26029,3567
Orange,68278,76645,6204
Orleans,4470,10936,895
Oswego,17095,27688,3005
Otsego,10451,13308,1656
Putnam,19366,27024,1821
Rensselaer,32717,33726,4468
Rockland,69342,60911,3826
Saratoga,50913,54575,7340
Schenectady,33747,28953,3934
Schoharie,4240,8831,861
Schuyler,3091,5050,549
Seneca,5697,7236,938
St. Lawrence,16488,19942,2331
Steuben,12526,26831,2354
Suffolk,303951,350570,22646
Sullivan,12568,15931,1262
Tioga,7526,13260,1321
Tompkins,28890,10371,2938
Ulster,44597,35239,4699
Warren,13091,15751,2202
Washington,9098,13610,1584
Wayne,13473,23380,2626
Westchester,272926,131238,13016
Wyoming,3904,12442,888
Yates,3659,5660,675
Bronx,353646,37797,6811
Kings,640553,141044,19492
New York,579013,64930,19926
Queens,517220,149341,16952
Richmond,74143,101437,4498
