County,Total Incidents,FIPS Code,Population,HC_per_Mill
Albany,6,36001,307628,19.504076351957558
Allegany,1,36003,47039,21.25895533493484
Bronx,22,36005,1445237,15.222416807762325
Broome,3,36007,194345,15.436466078365791
Cayuga,1,36011,77666,12.875647001261814
Chemung,2,36015,85676,23.34376021289509
Chenango,2,36017,48317,41.393298424985
Clinton,2,36019,80524,24.837315582931797
Dutchess,1,36027,293049,3.4123986091063268
Erie,20,36029,918479,21.775130405812217
Essex,1,36031,37675,26.542800265428003
Franklin,1,36033,51077,19.57828376764493
Jefferson,2,36045,113015,17.69676591602885
Kings,139,36047,2611232,53.23157804438671
Livingston,3,36051,63942,46.917519001595196
Madison,6,36053,71291,84.16209619727596
Monroe,6,36055,743531,8.069603015879634
Montgomery,1,36057,49206,20.322724870950697
Nassau,52,36059,1356463,38.33499328769012
New York,127,36061,1636261,77.61597935781639
Niagara,4,36063,211534,18.909489727419707
Oneida,1,36065,230348,4.34125757549447
Orange,6,36071,378047,15.87104248942592
Oswego,2,36075,118881,16.823546235310943
Otsego,1,36077,60119,16.633676541525972
Queens,70,36081,2309032,30.31573403919911
Richmond,11,36085,474214,23.19627847343183
Rockland,8,36087,323640,24.71882338400692
Saratoga,2,36091,227048,8.808710052499912
Schenectady,1,36093,154473,6.473623222181223
Schoharie,2,36095,31307,63.883476538793246
St. Lawrence,1,36089,109411,9.139848826900403
Suffolk,43,36103,1486804,28.92109518134199
Tompkins,2,36109,102938,19.429170957275254
Ulster,3,36111,179080,16.752289479562208
Wayne,1,36117,90754,11.018798069506579
Westchester,19,36119,970556,19.57640774978466
