ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,"2017",0,"Total",106875,35661,"Census Tract 9802, Philadelphia County, PA","14000US42101980200"
2017,"2017",0,"Total",36563,6972.000000000001,"Census Tract 321, Philadelphia County, PA","14000US42101032100"
2017,"2017",0,"Total",44086,4889,"Census Tract 320, Philadelphia County, PA","14000US42101032000"
2017,"2017",0,"Total",109738,12497,"Census Tract 1, Philadelphia County, PA","14000US42101000100"
2017,"2017",0,"Total",40283,5003,"Census Tract 319, Philadelphia County, PA","14000US42101031900"
2017,"2017",0,"Total",42404,5718,"Census Tract 318, Philadelphia County, PA","14000US42101031800"
2017,"2017",0,"Total",41940,6491,"Census Tract 323, Philadelphia County, PA","14000US42101032300"
2017,"2017",0,"Total",30746,8706,"Census Tract 2, Philadelphia County, PA","14000US42101000200"
2017,"2017",0,"Total",47565,4029,"Census Tract 317, Philadelphia County, PA","14000US42101031700"
2017,"2017",0,"Total",38693,9785,"Census Tract 316, Philadelphia County, PA","14000US42101031600"
2017,"2017",0,"Total",42594,8390,"Census Tract 315.02, Philadelphia County, PA","14000US42101031502"
2017,"2017",0,"Total",84135,21679,"Census Tract 3, Philadelphia County, PA","14000US42101000300"
2017,"2017",0,"Total",44615,5886,"Census Tract 315.01, Philadelphia County, PA","14000US42101031501"
2017,"2017",0,"Total",44865,9799,"Census Tract 325, Philadelphia County, PA","14000US42101032500"
2017,"2017",0,"Total",59221,7762,"Census Tract 4.01, Philadelphia County, PA","14000US42101000401"
2017,"2017",0,"Total",100156,45778,"Census Tract 9801, Philadelphia County, PA","14000US42101980100"
2017,"2017",0,"Total",34641,2841,"Census Tract 314.02, Philadelphia County, PA","14000US42101031402"
2017,"2017",0,"Total",38992,6228,"Census Tract 314.01, Philadelphia County, PA","14000US42101031401"
2017,"2017",0,"Total",72866,7545,"Census Tract 4.02, Philadelphia County, PA","14000US42101000402"
2017,"2017",0,"Total",40337,7292,"Census Tract 313, Philadelphia County, PA","14000US42101031300"
2017,"2017",0,"Total",33734,7657.999999999999,"Census Tract 312, Philadelphia County, PA","14000US42101031200"
2017,"2017",0,"Total",49164,5686,"Census Tract 326, Philadelphia County, PA","14000US42101032600"
2017,"2017",0,"Total",42135,12885,"Census Tract 5, Philadelphia County, PA","14000US42101000500"
2017,"2017",0,"Total",41750,7079.999999999999,"Census Tract 311.02, Philadelphia County, PA","14000US42101031102"
2017,"2017",0,"Total",33613,2592,"Census Tract 311.01, Philadelphia County, PA","14000US42101031101"
2017,"2017",0,"Total",40956,16640,"Census Tract 310, Philadelphia County, PA","14000US42101031000"
2017,"2017",0,"Total",77500,19758,"Census Tract 6, Philadelphia County, PA","14000US42101000600"
2017,"2017",0,"Total",42755,5647,"Census Tract 309, Philadelphia County, PA","14000US42101030900"
2017,"2017",0,"Total",39673,11630,"Census Tract 329, Philadelphia County, PA","14000US42101032900"
2017,"2017",0,"Total",51830,10039,"Census Tract 7, Philadelphia County, PA","14000US42101000700"
2017,"2017",0,"Total",69219,12144,"Census Tract 9800, Philadelphia County, PA","14000US42101980000"
2017,"2017",0,"Total",54094,6169,"Census Tract 308, Philadelphia County, PA","14000US42101030800"
2017,"2017",0,"Total",39811,10032,"Census Tract 307, Philadelphia County, PA","14000US42101030700"
2017,"2017",0,"Total",94821,29422,"Census Tract 8.01, Philadelphia County, PA","14000US42101000801"
2017,"2017",0,"Total",41840,9918,"Census Tract 306, Philadelphia County, PA","14000US42101030600"
2017,"2017",0,"Total",41667,9565,"Census Tract 305.02, Philadelphia County, PA","14000US42101030502"
2017,"2017",0,"Total",32768,12541,"Census Tract 330, Philadelphia County, PA","14000US42101033000"
2017,"2017",0,"Total",56307,6441,"Census Tract 8.03, Philadelphia County, PA","14000US42101000803"
2017,"2017",0,"Total",32390,6366,"Census Tract 305.01, Philadelphia County, PA","14000US42101030501"
2017,"2017",0,"Total",48922,17898,"Census Tract 302, Philadelphia County, PA","14000US42101030200"
2017,"2017",0,"Total",33647,8433,"Census Tract 301, Philadelphia County, PA","14000US42101030100"
2017,"2017",0,"Total",100914,11676,"Census Tract 8.04, Philadelphia County, PA","14000US42101000804"
2017,"2017",0,"Total",28838,8096,"Census Tract 300, Philadelphia County, PA","14000US42101030000"
2017,"2017",0,"Total",56592,11389,"Census Tract 331.01, Philadelphia County, PA","14000US42101033101"
2017,"2017",0,"Total",42548,9262,"Census Tract 9.01, Philadelphia County, PA","14000US42101000901"
2017,"2017",0,"Total",28671,11306,"Census Tract 390, Philadelphia County, PA","14000US42101039000"
2017,"2017",0,"Total",19656,6456,"Census Tract 299, Philadelphia County, PA","14000US42101029900"
2017,"2017",0,"Total",27598,4108,"Census Tract 298, Philadelphia County, PA","14000US42101029800"
2017,"2017",0,"Total",45288,8960,"Census Tract 9.02, Philadelphia County, PA","14000US42101000902"
2017,"2017",0,"Total",19992,5476,"Census Tract 294, Philadelphia County, PA","14000US42101029400"
2017,"2017",0,"Total",26125,7270,"Census Tract 293, Philadelphia County, PA","14000US42101029300"
2017,"2017",0,"Total",43713,6852.999999999999,"Census Tract 331.02, Philadelphia County, PA","14000US42101033102"
2017,"2017",0,"Total",99250,15659.999999999998,"Census Tract 10.01, Philadelphia County, PA","14000US42101001001"
2017,"2017",0,"Total",45092,11658,"Census Tract 292, Philadelphia County, PA","14000US42101029200"
2017,"2017",0,"Total",21570,4239,"Census Tract 291, Philadelphia County, PA","14000US42101029100"
2017,"2017",0,"Total",35786,9087,"Census Tract 290, Philadelphia County, PA","14000US42101029000"
2017,"2017",0,"Total",109020,12211,"Census Tract 10.02, Philadelphia County, PA","14000US42101001002"
2017,"2017",0,"Total",24688,7393,"Census Tract 289.02, Philadelphia County, PA","14000US42101028902"
2017,"2017",0,"Total",64408,11476,"Census Tract 332, Philadelphia County, PA","14000US42101033200"
2017,"2017",0,"Total",72869,15126.000000000002,"Census Tract 11.01, Philadelphia County, PA","14000US42101001101"
2017,"2017",0,"Total",33963,7301.000000000001,"Census Tract 389, Philadelphia County, PA","14000US42101038900"
2017,"2017",0,"Total",31250,11028,"Census Tract 289.01, Philadelphia County, PA","14000US42101028901"
2017,"2017",0,"Total",23769,4976,"Census Tract 288, Philadelphia County, PA","14000US42101028800"
2017,"2017",0,"Total",75000,21699,"Census Tract 11.02, Philadelphia County, PA","14000US42101001102"
2017,"2017",0,"Total",20288,10230,"Census Tract 287, Philadelphia County, PA","14000US42101028700"
2017,"2017",0,"Total",25625,10897,"Census Tract 286, Philadelphia County, PA","14000US42101028600"
2017,"2017",0,"Total",43398,4654,"Census Tract 333, Philadelphia County, PA","14000US42101033300"
2017,"2017",0,"Total",103427,21242,"Census Tract 12.01, Philadelphia County, PA","14000US42101001201"
2017,"2017",0,"Total",26033,9537,"Census Tract 285, Philadelphia County, PA","14000US42101028500"
2017,"2017",0,"Total",25542,8228,"Census Tract 284, Philadelphia County, PA","14000US42101028400"
2017,"2017",0,"Total",25000,8483,"Census Tract 283, Philadelphia County, PA","14000US42101028300"
2017,"2017",0,"Total",77150,7200,"Census Tract 12.02, Philadelphia County, PA","14000US42101001202"
2017,"2017",0,"Total",27971,5206,"Census Tract 282, Philadelphia County, PA","14000US42101028200"
2017,"2017",0,"Total",48784,6315,"Census Tract 334, Philadelphia County, PA","14000US42101033400"
2017,"2017",0,"Total",103147,11838,"Census Tract 13, Philadelphia County, PA","14000US42101001300"
2017,"2017",0,"Total",72386,13944.999999999998,"Census Tract 388, Philadelphia County, PA","14000US42101038800"
2017,"2017",0,"Total",30330,7131,"Census Tract 281, Philadelphia County, PA","14000US42101028100"
2017,"2017",0,"Total",21106,4419,"Census Tract 280, Philadelphia County, PA","14000US42101028000"
